machine_id,machine_name,category,maker_name,series_name,market_date,used_price,used_price_change_rate,installed_halls,installed_units,installed_units_change_rate,market_memo
P_19419e460e,CRスーパー海物語IN沖縄4 MTC,P,三洋,海物語,,,,,,,
P_5aab90a845,CRスーパー海物語IN沖縄4桜バージョン ライト199ver.,P,三洋,海物語,,,,,,,
P_30402aab4d,CRスーパー海物語IN沖縄4桜バージョン 新マックス319ver.,P,三洋,海物語,,,,,,,
P_dfd5c2dde0,CRダイナマイトキングin沖縄 爆はいさいVer.,P,大一商会,,,,,,,,
P_401f18c278,CRトキオスペシャル V1,P,アムテックス,,,,,,,,
P_b7f763d67f,CRビッグドリーム～神撃 259Ver.,P,タイヨーエレック,,,,,,,,
P_4591c8a4d0,CRフィーバークィーンⅡ DX,P,ジェイビー,,,,,,,,
P_e4b2082ed1,CRフィーバー宇宙戦艦ヤマト -ONLY ONE- ライトミドルタイプ,P,SANKYO,,,,,,,,
P_6bd273c177,CRフィーバー戦姫絶唱シンフォギア,P,SANKYO,,,,,,,,
P_a272684080,CRフィーバー戦姫絶唱シンフォギア LIGHT ver.,P,SANKYO,,,,,,,,
P_fd509b315e,CRマッハGoGoGo GP7000 XVTS,P,七匠,,,,,,,,
P_27afde072c,CRリング 運命の日 FPSZ,P,藤商事,,,,,,,,
P_2da5f54152,CRリング 運命の日 FPWZ,P,藤商事,,,,,,,,
P_1e328040ac,CRルパン三世～消されたルパン～ 299Ver.,P,平和,ルパン三世,,,,,,,
P_b9f3f6517f,CR大海物語4 MTB,P,三洋,海物語,,,,,,,
P_e2c7bb6449,CR大海物語4 with アグネス・ラム SBC,P,三洋,海物語,,,,,,,
P_1fb31334e2,CR大海物語BLACK ライト,P,三洋,海物語,,,,,,,
P_40d99237ca,CR大海物語スペシャル MTE15,P,三洋,海物語,,,,,,,
P_5973bb3f01,CR戦国乙女5～10th Anniversary～ H1BZ1,P,アムテックス,戦国乙女,,,,,,,
P_08c82e0fec,CR爆走大工の源さん外伝-京都もいただき編- 強ミドル,P,三洋,,,,,,,,
P_7a4d37a8c0,CR百花繚乱 サムライブライド M5BZ2,P,平和,,,,,,,,
P_0392ff8bd0,CR真・花の慶次 L6-K,P,ニューギン,花の慶次,,,,,,,
P_b6f1bbf97b,CR真・花の慶次2～漆黒の衝撃 2400,P,ニューギン,花の慶次,,,,,,,
P_5fc486a699,CR緋弾のアリアⅡ FPM,P,藤商事,,,,,,,,
P_419dd7e3f1,CR聖闘士星矢-BEYOND THE LIMIT- MLA,P,三洋,,,,,,,,
P_4e74a422fd,CR花の慶次X～雲のかなたに～ H2-K,P,ニューギン,花の慶次,,,,,,,
P_b2a414d9fb,CR餃子の王将3 メガ盛7000,P,豊丸,,,,,,,,
P_9713cb9ee7,CR餃子の王将3 大盛5000,P,豊丸,,,,,,,,
P_5152d58305,CR黄門ちゃま 超寿 日本漫遊2700km 199ver.,P,平和,,,,,,,,
P_3670d29d7f,CR黄門ちゃま 超寿 日本漫遊2700km 299ver.,P,平和,,,,,,,,
