alias_name,machine_id,formal_machine_name,confidence_score,memo
P CYBORG009 RULE OF SACRIFICE VS SCARL BODY EDITION 199,P_ebb0798f9f,P CYBORG009 RULE OF SACRIFICE VS SCARL BODY EDITION 199,1.0,初期自動登録
P FAIRY TAIL 2 JQD,P_86a7bee3ba,P FAIRY TAIL 2 JQD,1.0,初期自動登録
P FAIRY TAIL 89Ver.,P_2274c7ea46,P FAIRY TAIL 89Ver.,1.0,初期自動登録
P FAIRY TAIL これが七炎竜の力だ FSA,P_70ed0ee7cb,P FAIRY TAIL これが七炎竜の力だ FSA,1.0,初期自動登録
P FAIRY TAIL 超一夜Ver.,P_7418129675,P FAIRY TAIL 超一夜Ver.,1.0,初期自動登録
P GANTZ覚醒 SWEET2000,P_b2128bab8d,P GANTZ覚醒 SWEET2000,1.0,初期自動登録
P GO!GO!マリン 3000 HCD,P_5b3be53360,P GO!GO!マリン 3000 HCD,1.0,初期自動登録
P GO!GO!マリン 超連撃BATTLE JTD,P_3deebedf83,P GO!GO!マリン 超連撃BATTLE JTD,1.0,初期自動登録
P GO!GO!郷 comeback stage M3-X,P_9949096c70,P GO!GO!郷 comeback stage M3-X,1.0,初期自動登録
P GO!GO!郷 革命の5 M4-VLT,P_a1c81405fc,P GO!GO!郷 革命の5 M4-VLT,1.0,初期自動登録
P GⅠDREAMROAD MH,P_7e19575883,P GⅠDREAMROAD MH,1.0,初期自動登録
P J-RUSH5 HSJ-S,P_e32e4015c4,P J-RUSH5 HSJ-S,1.0,初期自動登録
P J-RUSH5 RSJ-S,P_74e18ff98b,P J-RUSH5 RSJ-S,1.0,初期自動登録
P JAWS3 SHARK PANIC -深淵- H1AZ5Y,P_9a58025143,P JAWS3 SHARK PANIC -深淵- H1AZ5Y,1.0,初期自動登録
P JAWS3 SHARK PANIC -深淵- LIGHT,P_48e1182adc,P JAWS3 SHARK PANIC -深淵- LIGHT,1.0,初期自動登録
P NEW TOKIO ハカマタイプ,P_4e40148999,P NEW TOKIO ハカマタイプ,1.0,初期自動登録
P ROAD TO EDEN GED,P_9b09a8e8ce,P ROAD TO EDEN GED,1.0,初期自動登録
P STEINS；GATE 0 L2-K,P_f364de7f8d,P STEINS；GATE 0 L2-K,1.0,初期自動登録
P TENRYU 7 R1,P_e722d0459d,P TENRYU 7 R1,1.0,初期自動登録
P TIGER & BUNNY ～完全無欠WILDスペック～,P_c77561b5a7,P TIGER & BUNNY ～完全無欠WILDスペック～,1.0,初期自動登録
P TOKIO BLACK 4500V1,P_150debdf86,P TOKIO BLACK 4500V1,1.0,初期自動登録
