machine_name,category,certification_date,certification_source,memo
Pフィーバー炎炎ノ消防隊 Light ver.,P,,,
Pフィーバー真花月2 夜桜バージョン,P,,,
Pフィーバー蒼穹のファフナー3 EXODDUS 織姫Light ver.,P,,,
Pフィーバー蒼穹のファフナー3 EXODUS 超蒼穹3800ver.,P,,,
Pフィーバー革命機ヴァルヴレイヴ2 Light ver.,P,,,
Pフィーバー革命機ヴァルヴレイヴ2 S,P,,,
Pフィーバー革命機ヴァルヴレイヴ2 カミツキver.,P,,,
Pフィーバー革命機ヴァルヴレイヴ3 Light ver.,P,,,
Pフィーバー革命機ヴァルヴレイヴ3 R,P,,,
Pブラックラグーン4 EXTRA BULLET 129ver.,P,,,
Pブラックラグーン4 GFPJ,P,,,
Pプロゴルファー猿 EMPEROR MODEL M4,P,,,
Pベルセルク無双 119ver.,P,,,
Pベルセルク無双 M-Z,P,,,
Pベルセルク無双 冥府魔道ver. M12-Z,P,,,
Pホームランキング 9AV2S,P,,,
Pホー助くん YKBU2,P,,,
Pポチッと一発!おだてブタ2 V1,P,,,
Pミニミニモンスター4 a,P,,,
Pミリオンゴッド-一撃- MH,P,,,
Pメイドインアビス 奈落の連環蝕 SL,P,,,
Pメイドインアビス 虹の黄金域 MR,P,,,
Pモモキュンソード GC250A,P,,,
Pモモキュンソード MC,P,,,
Pモモキュンソード 閃撃 GCA,P,,,
Pモモキュンソード 閃撃 MD,P,,,
PモンキーターンV MD,P,,,
PモンキーターンⅥ 超抜 ZDa,P,,,
Pモンスターハンター ダブルクロス SFB,P,,,
Pモンスターハンター ダブルクロス 連続狩猟ver.,P,,,
Pモンスターハンターライズ GRPG,P,,,
PヤッターマンVVV-YCE,P,,,
Pラブ嬢 ～極嬢のハーレム体験～ 129ver.,P,,,
Pラブ嬢 ～極嬢のハーレム体験～ H1YZ6,P,,,
Pラブ嬢～極嬢のハーレム体験～ H1YZ6,P,,,
Pリアル鬼ごっこ2 全力疾走チャージ王様ver.,P,,,
Pリアル鬼ごっこ2 全力疾走チャージ鬼Ver.,P,,,
Pリング バースデイ 呪いの始まり FRX設定付,P,,,
Pリング 呪いの7日間2 FSA,P,,,
Pリング 呪いの7日間2 JN,P,,,
Pリング 呪いの7日間3 JMA,P,,,
Pリング 呪いの7日間3 ラッキートリガーVer.,P,,,
Pリング 呪いの7日間3 甘デジver.,P,,,
Pルパン三世 2000カラットの涙 129Ver.,P,,,
Pルパン三世 2000カラットの涙 H1AZ2,P,,,
Pルパン三世 ONE COLLECTION 100ver.,P,,,
Pルパン三世 ONE COLLECTION H1YZ4,P,,,
Pルパン三世 THE FIRST 99ver.,P,,,
Pルパン三世 THE FIRST H1YZ1,P,,,
Pルパン三世 消されたルパン2022 99ver.,P,,,
Pルパン三世 消されたルパン2022 H1AZ1,P,,,
Pルパン三世 銭形からの招待状 77Sweet Ver.,P,,,
Pルパン三世 ～復活のマモー～ 2YZ7,P,,,
Pルパン三世 ～復活のマモー～ M1AY5Y,P,,,
Pルパン三世 ～復活のマモー～ 甘デジ,P,,,
Pルパン三世～神々への予告状～ 9AU1,P,,,
Pルパン三世～神々への予告状～ L9BW4S,P,,,
Pワイルドロデオ 6750だぜぇ S2,P,,,
Pワンパンマン 199ver.,P,,,
Pワンパンマン L3-MX,P,,,
Pヱヴァンゲリヲン13 プレミアムモデル,P,,,
P一球魂GOLDピラミッ伝 V1E,P,,,
P一騎当千SS斬 呂蒙Ver.,P,,,
P一騎当千SS斬 孫策Ver.,P,,,
P一騎当千サバイバルソルジャー 甘デジVer.,P,,,
P七つの大罪2 GFPA,P,,,
P七つの大罪2 神千斬りVER.,P,,,
P七つの美徳 ゴールデンエンジェルタイム V1G,P,,,
P七つの美徳 ゴールデンエンジェルタイム スイート99Ver.,P,,,
P世界でいちばん強くなりたい! MU,P,,,
P世界でいちばん強くなりたい! W悶STARver,P,,,
P世界最高の暗殺者、異世界貴族に転生する JMB,P,,,
P世紀末・天才バカボン～神SPEC 凱旋～ FM-JV,P,,,
P世紀末・天才バカボン～福神SPEC～ LTH-JH,P,,,
P中森明菜・歌姫伝説 THE BEST LEGEND 1/199ver,P,,,
P中森明菜・歌姫伝説 THE BEST LEGEND 1/99ver,P,,,
P中森明菜・歌姫伝説 THE BEST LEGEND4 LM-T,P,,,
P中森明菜・歌姫伝説～BLACK DIVA 愛～ KD-NS,P,,,
P中森明菜・歌姫伝説～BLACK DIVA 極～ KM-TF,P,,,
P乗物娘 WITH CYBERJAPAN(R) DANCERS M5-K1,P,,,
P乗物娘 with CYBER JAPAN DANCERS 2nd season LM3,P,,,
P亜人～衝戟に備えろ!～ 199ver.,P,,,
P亜人～衝戟の全突フルスペック!～ 319ver.,P,,,
P交響詩篇エウレカセブン ANEMONE SFPA,P,,,
P交響詩篇エウレカセブン HI-EVOLUTION ZERO SEJD,P,,,
P俺の妹がこんなに可愛いわけがない。 攻略!!スキップ159ver.,P,,,
P元祖ギンギラパラダイス HCB,P,,,
P元祖大工の源さん 199ver.,P,,,
P冴えない彼女の育てかた 99ver.,P,,,
P刀使ノ巫女 MHa,P,,,
P化物語 199ver.,P,,,
P化物語 319ver.,P,,,
P北斗の拳 強敵 LT SSPA,P,,,
P北斗の拳 暴凶星 SFPA,P,,,
P北斗の拳8 救世主 SFJE,P,,,
P北斗の拳8 究極乱世 SSF,P,,,
P北斗の拳8 覇王FQA,P,,,
P北斗の拳9 闘神 GFG,P,,,
P咲-Saki-全国編 HTG,P,,,
P咲-Saki-全国編 テンパイ即リーver.,P,,,
P哲也 AM-JV,P,,,
P地獄少女 Light,P,,,
P地獄少女 きくりのお祭りLIVE FWA,P,,,
P地獄少女 四 JG,P,,,
P地獄少女 華 FMB,P,,,
P地獄少女覚醒 3000Ver.,P,,,
P大工の源さん 超韋駄天 BLACK CS,P,,,
P大工の源さん 超韋駄天 LIGHT,P,,,
P大工の源さん 超韋駄天 YTA,P,,,
P大工の源さん超韋駄天2 極源LighT,P,,,
P大海物語4 スペシャル BLACK SCA,P,,,
P大海物語4 スペシャル E,P,,,
P大海物語4スペシャル BLACK SCA,P,,,
P大海物語4スペシャル E,P,,,
P大海物語5 MTE2,P,,,
P大海物語5 ブラック HCL,P,,,
P大海物語5スペシャル ALTA,P,,,
P大開王 X,P,,,
P天昇!姫相撲 大横綱ver,P,,,
P天龍∞2 V,P,,,
P学園黙示録HIGH SCHOOL OF THE DEAD 2 弾丸319Ver.,P,,,
P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT ver.,P,,,
P宇宙戦艦ヤマト2202 -ONLY ONE- R,P,,,
P宇宙戦艦ヤマト2202 愛の戦士たち Light ver.,P,,,
P宇宙戦艦ヤマト2202 愛の戦士たち bS,P,,,
P少女☆歌劇 レヴュースタァライト ラッキートリガー4500,P,,,
P巨人の星 一球入魂 3000,P,,,
P巨人の星～栄光の軌跡～ 連戦連勝version,P,,,
P弾球黙示録カイジ5 電撃チャージVer.A,P,,,
P弾球黙示録カイジ沼4 ざわ・・・Ver.,P,,,
P弾球黙示録カイジ沼5 V1U,P,,,
P弾球黙示録カイジ沼5 ざわっ・・・79Ver.,P,,,
P弾球黙示録カイジ沼４ カイジVer.,P,,,
P忍者ハットリくん～決戦!サイバーからくり城の巻～ 上忍ver.,P,,,
P忍者ハットリくん～決戦!サイバーからくり城の巻～ 中忍ver.,P,,,
P愛の不時着 MF,P,,,
P戦国BASARA L4-7V1,P,,,
P戦国†恋姫 Vチャージver JCC,P,,,
P戦国乙女 LEGEND BATTLE 99ver.,P,,,
P戦国乙女 LEGEND BATTLE M2AZ1Y,P,,,
P戦国乙女5 1/219～1/184ver.,P,,,
P戦国乙女5 9AU1,P,,,
P戦国乙女6 暁の関ヶ原 M2AZ1Y,P,,,
P戦国乙女6 暁の関ヶ原 甘デジ,P,,,
P戦国乙女7 終焉の関ケ原 99ver.,P,,,
P戦国乙女7 終焉の関ケ原 L9YY7,P,,,
P戦国乙女7 終焉の関ケ原 LLサイズ 299ver.,P,,,
P攻殻機動隊SAC_2045 199LTver.,P,,,
P攻殻機動隊SAC_2045 大入りLTver,P,,,
P新・遠山の金さん 77Ver.,P,,,
P新・遠山の金さん JQC,P,,,
P新世紀エヴァンゲリオン 決戦 ～真紅～ W,P,,,
P新世紀エヴァンゲリオン ～未来への咆哮～,P,,,
P新世紀エヴァンゲリオン ～未来への咆哮～ PREMIUM MODEL,P,,,
P新世紀エヴァンゲリオン ～未来への咆哮～ SPECIAL EDITION F,P,,,
P新世紀エヴァンゲリオン～シト、新生～ G,P,,,
P新世紀エヴァンゲリオン～シト、新生～ プレミアムモデル,P,,,
P新世紀エヴァンゲリオン～未来への咆哮～,P,,,
P新日本プロレスリング L6AU3S,P,,,
P新鬼武者 H1YZ3,P,,,
P新鬼武者 甘デジ,P,,,
P春一番～恋絵巻～ 199ver.,P,,,
P春夏秋冬 GLB,P,,,
P暴れん坊将軍 炎獄鬼神の怪 FW設定付,P,,,
P水戸黄門 超極上 らいとばーじょん,P,,,
P江頭2:50inナナシーLT V3,P,,,
P沖7 BLACK,P,,,
P沖ドキ!ドキドキ弾丸ツアー LG,P,,,
P海物語 極JAPAN HTH,P,,,
P清流物語4 ヌシを求めて4000匹 HLC,P,,,
P火曜サスペンス劇場3 最後の推理 GFC,P,,,
P炎のドラム魂 GA,P,,,
P烈火の炎3 H1AZ4,P,,,
P烈火の炎3 甘デジVer.,P,,,
P牙狼 月虹ノ旅人 MC,P,,,
P牙狼11～冴島大河～XX MU,P,,,
P牙狼GOLD IMPACT XX-MZ,P,,,
P牙狼MUSEUM MA,P,,,
P牙狼コレクション RJ,P,,,
P牙狼コレクション 遊タイムver.,P,,,
P牙狼月虹ノ旅人絆 GIGA GHOST ver.,P,,,
P犬夜叉2 FM-N,P,,,
P甲鉄城のカバネリ 319 覚醒Ver.,P,,,
P甲鉄城のカバネリ ～4000連激ver.～,P,,,
P異世界魔王と召喚少女の奴隷魔術 L3-X,P,,,
P痛いのは嫌なので防御力に極振りしたいと思います。 FHZ,P,,,
P痛いのは嫌なので防御力に極振りしたいと思います。 極振り129ver,P,,,
P百花繚乱 FM-JF,P,,,
P百花繚乱 ご奉仕129ver.,P,,,
P盾の勇者の成り上がり GFPC,P,,,
P真 黄門ちゃま 9YU1Y,P,,,
P真 黄門ちゃま H1AZ5,P,,,
P真シャカRUSH G,P,,,
P真バジリスク～甲賀忍法帖～ MQ,P,,,
P真バジリスク～甲賀忍法帖～豪塊W319ver.,P,,,
P真・一騎当千 FM-V,P,,,
P真・一騎当千 Light Ver.,P,,,
P真・一騎当千～桃園の誓い～ 199LTver.,P,,,
P真・一騎当千～桃園の誓い～ FM-JT,P,,,
P真・一騎当千～桃園の誓い～129ver.,P,,,
P真・北斗無双 Re:319ver.,P,,,
P真・北斗無双 第2章 頂上決戦Ver.,P,,,
P真・北斗無双 第3章 SFJ,P,,,
P真・北斗無双 第3章 ジャギの逆襲 GEE,P,,,
P真・北斗無双 第3章 覚醒闘舞 GCD,P,,,
P真・北斗無双 第4章 GFPH,P,,,
P真・北斗無双 第4章 下剋上闘 GRPJ,P,,,
P真・座頭市物語 DL-MX,P,,,
P真・怪獣王ゴジラ2 L2-K,P,,,
P真・暴れん坊将軍 双撃 FMG,P,,,
P真・牙狼 RS,P,,,
P真・牙狼2 RP,P,,,
P真・花の慶次2 漆黒の衝撃 EXTRA RUSH M3-VC,P,,,
P真・花の慶次3 -黄金一閃- TL5-MX,P,,,
P真・花の慶次3 99ver.,P,,,
P真・花の慶次3 L12-K,P,,,
P真・花の慶次3 黄金一閃 TL5-MX,P,,,
P真速のガッチャマン XINN,P,,,
P神・天才バカボン ～神 SPEC～,P,,,
P神・天才バカボン ～神 SPEC～ FN-F,P,,,
P神・天才バカボン～甘神SPEC～ FD-RS,P,,,
P神・天才バカボン～神SPEC～ FN-F,P,,,
P笑ゥせぇるすまん 最後の忠告 -今日のお客様はあなたです- MPY2,P,,,
P笑点 目指せ!座布団10枚 MU,P,,,
P結城友奈は勇者である ALL RUSH,P,,,
P結城友奈は勇者である MAa,P,,,
P絶超電役ドラドラ天国 2400,P,,,
P緋弾のアリア ～緋緋神降臨～ 199Ver.,P,,,
P緋弾のアリア ～緋緋神降臨～ 88Ver.,P,,,
P緋弾のアリア ～緋緋神降臨～ ラッキートリガーVer.,P,,,
P緋弾のアリア～緋弾覚醒編～ 319Ver.,P,,,
P緋弾のアリア～緋弾覚醒編～ FVA,P,,,
P織田信奈の野望 全国版 MGa,P,,,
P義風堂々!!～兼続と慶次～ M3-X,P,,,
P義風堂々!!～兼続と慶次～ M6-X,P,,,
P義風堂々!!～兼続と慶次～ N-X,P,,,
P義風堂々!!～兼続と慶次～3 199ver.,P,,,
P羽根モノ スカイレーサー DX,P,,,
P聖戦士ダンバイン2 -ZEROLIMIT HYPER- HSFJA,P,,,
P聖闘士星矢 超流星 LIGHT,P,,,
P聖闘士星矢 超流星 女神ゴールドver. 1500,P,,,
P聖闘士星矢 超流星 星矢ゴールドver. 92%,P,,,
P花の慶次 裂 蓮極129ver.,P,,,
P花の慶次～傾奇一転 L-MX,P,,,
P花の慶次～蓮 L16-V,P,,,
P花の慶次～蓮 M-V YT550,P,,,
P花満開 月光 THE FINAL,P,,,
P花満開 月光 THE FINAL ZC,P,,,
P華牌R～猿渡翔がローズテイルにやってきた～ Y2F,P,,,
P蒼天の拳 双龍 SFG,P,,,
P蒼天の拳 天刻 GEA,P,,,
P覇穹 封神演義 DL3-MX,P,,,
P豊丸ととある企業の最新作2 SOD 99ver.,P,,,
P貞子 FMD,P,,,
P貞子3D 2～呪われた12時間～ S2B,P,,,
P貞子3D3 V1B,P,,,
P貞子vs伽椰子 頂上決戦 FUZ,P,,,
P転生したらスライムだった件 129ver.,P,,,
P転生したらスライムだった件 NB,P,,,
P遠山の金さん2 遠山桜と華の密偵 JUD,P,,,
P野生の王国GO 99ver.,P,,,
P野生の王国GO M-T YT800,P,,,
P鉄拳 極,P,,,
P銀河鉄道999 GOLDEN 甘デジ,P,,,
P銀河鉄道999 Next Journey 1/100Ver.,P,,,
P銀河鉄道999 Next Journey H1AZ3,P,,,
P銀河鉄道999 PREMIUM H1AU6,P,,,
P銭形平次2 V2L,P,,,
P銭形平次3 DENKOUSEKKA 平次Ver.,P,,,
P銭形平次3 お静99,P,,,
P閃乱カグラ 189大入りver.,P,,,
P闘将覇伝 HSJ-W,P,,,
P頭文字D 2nd GFPG,P,,,
P頭文字D Non-Stop 3000Edition GRPE,P,,,
P頭文字D SEJG,P,,,
P魔法少女まどか☆マギカ3 LM3,P,,,
P魔法少女リリカルなのは 2人の絆 XCB,P,,,
P魔王学院の不適合者 FMY,P,,,
P鳳凰∞ 2,P,,,
P麻雀物語4 77ver.,P,,,
P麻雀物語4 M1AU1Y,P,,,
P黄門ちゃま寿限無 99ver.,P,,,
P黄門ちゃま寿限無 LLサイズ 259ver.,P,,,
P黄門ちゃま神盛2 L9AZ1,P,,,
Re:ゼロから始める異世界生活 鬼がかりver.,P,,,
e GODZILLA7 TYPE-CRASH,P,,,
e RAVE 覚聖ループ JMC,P,,,
e Re:ゼロから始める異世界生活 season2 M13,P,,,
e ULTRAMAN 2400★80,P,,,
e ULTRAMAN 4500超ライト,P,,,
e アズールレーン2 THE ANIMATION 超次元 K6,P,,,
e ゴジラ対エヴァンゲリオン セカンドインパクト G～破壊神覚醒～ bA,P,,,
e ゴジラ対エヴァンゲリオン2 超デカゴールド,P,,,
e シン・ウルトラマン K3,P,,,
e スマパチ SSSS.GRIDMAN XVSM,P,,,
e スマパチ SSSS.GRIDMAN メガSTART 159ver.,P,,,
e スマパチ シン・エヴァンゲリオン Type ゲンドウ,P,,,
e ソードアート・オンライン 閃光の軌跡 99Ver.,P,,,
e ソードアート・オンライン 閃光の軌跡 K7,P,,,
e ノーゲーム・ノーライフ 199Ver.,P,,,
e ノーゲーム・ノーライフ 319Ver.,P,,,
e バイオハザード6 APN,P,,,
e ベルセルク無双 第2章 H3,P,,,
e マギアレコード 魔法少女まどか☆マギカ外伝 KRJ1,P,,,
e 乃木坂46 Ⅱ K4,P,,,
e 乃木坂46 Ⅱ SWEET Version,P,,,
e 仮面ライダーBLACK KRJ2,P,,,
e 仮面ライダー電王 KL12,P,,,
e 仮面ライダー電王 デカヘソ239,P,,,
e 化物語 鬼99ver.,P,,,
e 北斗の拳11 暴凶星 SHEF,P,,,
e 学園黙示録ハイスクール・オブ・ザ・デッド3 V1A,P,,,
e 新・必殺仕置人S 超斬撃99,P,,,
e 新世紀エヴァンゲリオン ～はじまりの記憶～ R,P,,,
e 東京喰種 W,P,,,
e 東京喰種 超デカ 超一撃 ver.,P,,,
e 犬夜叉3.0 LTM-TS,P,,,
e 甲鉄城のカバネリ2 咲かせや燦然 GFEA,P,,,
e 盾の勇者の成り上がり アルティメット199ver.,P,,,
e 真・北斗無双 第5章 夢幻闘双 SCEA,P,,,
e 終末のワルキューレ EREA,P,,,
e 聖戦士ダンバイン3 ZEROSONIC GREA,P,,,
e 魔法少女まどか☆マギカ3 時間遡行～始まりの願い～ LPM1,P,,,
e86-エイティシックス- MAM2,P,,,
eうしおととら～神のせSPEC～ 150ver.,P,,,
eとある科学の超電磁砲 PHASE NEXT LT RSY,P,,,
eとある科学の超電磁砲 PHASE NEXT LTRSY,P,,,
eぱちんこ 新・必殺仕置人S 激闘K6,P,,,
eぱちんこ押忍!番長 漢の頂 L09,P,,,
eひきこまり吸血姫の悶々 FHV,P,,,
eまわるん超ワープ ギンギラパラダイス VIVA FESTA HTA2,P,,,
eようこそ実力至上主義の教室へ MA,P,,,
eアクダマドライブ EHLT,P,,,
eカケグルイ 7500ver,P,,,
eガールズ＆パンツァー 最終章 LAH1,P,,,
eキャッツ・アイ H4YZ3,P,,,
eキョンシー ライトミドル 新CタイムVer.,P,,,
eゴッドイーター TRIPLE BURST MJ,P,,,
eシャーマンキング MH,P,,,
eシャーマンキング でっけぇえなver.,P,,,
eスマパチ シン・エヴァンゲリオン Type カヲル,P,,,
eスマパチ フィーバーマクロスフロンティア5 V,P,,,
eスマートぱちんこ ソードアート・オンライン K12,P,,,
eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,P,,,
eパリピ孔明 NB,P,,,
eフィーバー デッドマウント・デスプレイ 魂神9000,P,,,
eフィーバーBASTARD!! -暗黒の破壊神- G,P,,,
eフィーバーうたわれるもの Z,P,,,
eフィーバーからくりサーカス2 魔王ver.,P,,,
eフィーバーもののがたり F,P,,,
eフィーバーキン肉マン,P,,,
eフィーバーダンジョンに出会いを求めるのは間違っているだろうか2 G,P,,,
eフィーバーダンベル何キロ持てる？2 F,P,,,
eフィーバーブルーロック MZ,P,,,
eフィーバー彼女、お借りします H,P,,,
eフィーバー戦姫絶唱シンフォギア4 キャロルver.,P,,,
eフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- R,P,,,
eフィーバー炎炎ノ消防隊2 シンラver.,P,,,
eフィーバー炎炎ノ消防隊2 紅丸ver.,P,,,
eライザのアトリエ 常闇の女王と秘密の隠れ家 K3,P,,,
eラグナドール 妖しき皇帝と終焉の夜叉姫 CMB,P,,,
eリコリス・リコイル M3,P,,,
eリング 最恐領域 RHA,P,,,
eルパン三世 ONE COLLECTION 超ブチヌキLT ver.,P,,,
eルパン三世 THE FIRST H4YZ3,P,,,
eルパン三世 銭形からの招待状 H4YZ6,P,,,
eルパン三世VSキャッツ・アイ 157ver. 極限突破ブッた斬り7500,P,,,
eルパン三世VSキャッツ・アイ MAH4,P,,,
eワンパンマン2～正義執行 LM10,P,,,
e一方通行 とある魔術の禁書目録 JKZ,P,,,
e冒険島 EHLC2,P,,,
e冥妃転生 CMP,P,,,
e冴えない彼女の育てかた LX04,P,,,
e北斗の拳10 GHEG,P,,,
e吉宗 極乗3000ver.,P,,,
e地獄少女 7500Ver.,P,,,
e大工の源さん超韋駄天2 フルスイングLT,P,,,
e大海物語5スペシャル ELTA4,P,,,
e女神のカフェテラス FLX,P,,,
e女神のカフェテラス JLZ,P,,,
e新・必殺仕置人 超斬撃199,P,,,
e新海物語349 ELTH,P,,,
e東京リベンジャーズ GFEC,P,,,
e源外伝 EPISODE OF -大龍- EHLG,P,,,
e牙狼 神速神撃3000LT,P,,,
e牙狼11～冴島大河～ 魔戒BURST Ver.,P,,,
e牙狼12黄金騎士極限 XX-MJ,P,,,
e異世界でチート能力を手にした俺は現実世界をも無双する ～レベルアップは人生を変えた～ FSZ,P,,,
e真・一騎当千～軍神覚醒～ 319大入りver.,P,,,
e真・北斗無双 第5章 ドデカSTART,P,,,
e範馬刃牙 199ver.,P,,,
e範馬刃牙 XAM2,P,,,
e義風堂々!!～兼続と慶次～3 DM5-S,P,,,
e聖闘士星矢 超流星CliMAX349 EHTA,P,,,
e花の慶次 裂 一刀両断 DL2-MX,P,,,
e花の慶次～傾奇一転 L2-MX,P,,,
e花の慶次～黄金の一撃 H4,P,,,
e蒼天の拳 羅龍 SREN,P,,,
e転生したらスライムだった件2 MF,P,,,
e閃乱カグラ LTM-JF,P,,,
e黄門ちゃま寿限無 LLサイズ 9HC3,P,,,
ぱちんこCR一騎当千サバイバルソルジャー 319Ver.,P,,,
ぱちんこCR偽物語 199Ver.,P,,,
ぱちんこCR北斗の拳6 天翔百裂 FTB,P,,,
ぱちんこCR真・北斗無双 FWN,P,,,
ぱちんこCR真・北斗無双 夢幻闘乱 SWA,P,,,
ぱちんこCR聖戦士ダンバイン EWNB,P,,,
ぱちんこCR聖戦士ダンバイン FWN,P,,,
ぱちんこCR蒼天の拳～天帰～ FWG,P,,,
アマデジPA笑ゥせぇるすまん ドーンといきまSHOW,P,,,
キュインぱちんこ P南国育ち デカパトver.,P,,,
キュインぱちんこ P南国育ち デカパトver. 甘デジ,P,,,
デカスタP STEINS；GATE 0 まゆしぃば～じょん,P,,,
デカスタPデビルマン THE FINAL 179ver.,P,,,
デカスタP戦国無双 100ver.,P,,,
デカスタP戦国無双 HM3,P,,,
デカスタe花の慶次～傾奇一転 H6,P,,,
デジハネCRA聖戦士ダンバイン デジハネver.,P,,,
デジハネCR北斗の拳6 慈母 STD,P,,,
デジハネP 頭文字D せかんど GCPC,P,,,
デジハネP<物語>シリーズ セカンドシーズン GSA,P,,,
デジハネPA<物語>シリーズ セカンドシーズン GSA,P,,,
デジハネPA交響詩篇エウレカセブン HI-EVOLUTION ZERO,P,,,
デジハネPA真・北斗無双 第2章 連撃Edition,P,,,
デジハネPあの日見た花の名前を僕達はまだ知らない。 GSC,P,,,
デジハネPモンスターハンターライズ GSPB,P,,,
デジハネP七つの大罪 エリザベスver.,P,,,
デジハネP交響詩篇エウレカセブン ANEMONE 99ver.,P,,,
デジハネP北斗の拳 慈母 SSPC,P,,,
デジハネP聖戦士ダンバイン2 ZEROSONIC,P,,,
パチンコCRクイーンズブレイド2 レイナ,P,,,
パチンコCR弾球黙示録カイジ沼3 利根川Ver.,P,,,
遊moreLT PエガブレイブVVV AX4,P,,,
A-SLOTツインエンジェルBREAK,S,,,
BIG島唄-30,S,,,
BLACK LAGOON ZERO bullet MAX,S,,,
BLACK LAGOON2,S,,,
BLACK LAGOON4,S,,,
CCエンジェル(2021年),S,,,
CREA Newクレアの秘宝伝,S,,,
GⅠ優駿倶楽部,S,,,
GⅠ優駿倶楽部3,S,,,
HIT128,S,,,
L A-SLOT+ この素晴らしい世界に祝福を!,S,,,
L A-SLOT+ ディスクアップ ULTRAREMIX,S,,,
L D4DJ Pachi-Slot Mix,S,,,
L GⅠ優駿倶楽部黄金,S,,,
L HEY!エリートサラリーマン鏡,S,,,
L Sister Quest(2025年),S,,,
L Sky Love,S,,,
L ToLOVEるダークネス,S,,,
L ToLOVEるダークネス TRANCE ver.8.7,S,,,
L ULTRAMAN,S,,,
L にゃんこ大戦争 超神速,S,,,
L ひぐらしのなく頃に 業,S,,,
L アカメが斬る!2,S,,,
L アズールレーン THE ANIMATION,S,,,
L ウルトラマンティガ,S,,,
L エヴァンゲリオン ～未来への創造～,S,,,
L サラリーマン金太郎(2025年),S,,,
L スマスロ デビル メイ クライ 5 スタイリッシュトライブ,S,,,
L スマスロ バイオハザード5(2025年),S,,,
L スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,S,,,
L ダーリン・イン・ザ・フランキス,S,,,
L ベルセルク無双,S,,,
L リングにかけろ1 V,S,,,
L 仮面ライダー 7RIDERS,S,,,
L 仮面ライダー電王,S,,,
L 新・必殺仕置人 回胴 CRASH SPEC,S,,,
L 東京喰種,S,,,
L 無職転生 ～異世界行ったら本気だす～,S,,,
L 犬夜叉2,S,,,
L 真・一騎当千,S,,,
L 絶対衝激Ⅳ,S,,,
L 絶対衝激～PLATONIC HEART～,S,,,
L 荒野のコトブキ飛行隊,S,,,
L009 RE:CYBORG,S,,,
LB A-SLOT+ 異世界かるてっと BT,S,,,
LB SHAKE BONUS TRIGGER,S,,,
LBアレックス ブライト,S,,,
LBクレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,S,,,
LBスマスロ サンダーV(2026年),S,,,
LBスマスロニューパルサーBT,S,,,
LBスマート沖スロ ニューキングハナハナV,S,,,
LBスロットGALFY,S,,,
LBパチスロ ヱヴァンゲリヲン ～約束の扉～,S,,,
LBパチスロ1000ちゃんA,S,,,
LBプレミアムうまい棒,S,,,
LBマジカルハロウィン ボーナストリガー,S,,,
LBマタドールⅢ,S,,,
LB不二子BT,S,,,
LB翔べ!ハーレムエース,S,,,
Lucky 海物語,S,,,
Lいざ!番長,S,,,
Lうしおととら白面決戦VH,S,,,
Lうる星やつら(2024年),S,,,
Lてぃだどんどん,S,,,
Lぱちスロ にゃんこ大戦争 BIGBANG,S,,,
Lぱちスロ 乃木坂46,S,,,
Lわたしの幸せな結婚,S,,,
Lアクダマドライブ,S,,,
Lアニマルスロットドッチ,S,,,
Lゴジラ(2025年),S,,,
Lゴジラ対エヴァンゲリオン,S,,,
Lゴブリンスレイヤー,S,,,
Lストライクウィッチーズ2,S,,,
Lスマスロ BIRDIE WING -Golf Girls’ Story-,S,,,
Lスマスロ とある科学の超電磁砲2,S,,,
Lスマスロ ようこそ実力至上主義の教室へ,S,,,
Lスマスロ アイドルマスター ミリオンライブ! ネクストプロローグ,S,,,
Lスマスロ ギルティクラウン2,S,,,
Lスマスロ ゲゲゲの鬼太郎 覚醒,S,,,
Lスマスロ コードギアス 反逆のルルーシュ/復活のルルーシュ,S,,,
Lスマスロ ゴッドイーター リザレクション,S,,,
Lスマスロ ゴブリンスレイヤーⅡ,S,,,
Lスマスロ ゴールデンカムイ,S,,,
Lスマスロ シャーマンキング,S,,,
Lスマスロ ストライク・ザ・ブラッド,S,,,
Lスマスロ ストリートファイターV 挑戦者の道,S,,,
Lスマスロ スーパーリオエース2,S,,,
Lスマスロ トロピカーナ(2024年),S,,,
Lスマスロ ドルアーガの塔,S,,,
Lスマスロ ハナビ(2026年),S,,,
Lスマスロ バイオハザード:ヴィレッジ,S,,,
Lスマスロ バイオハザード:ヴェンデッタ,S,,,
Lスマスロ バイオハザードRE:3,S,,,
Lスマスロ バベル(2025年),S,,,
Lスマスロ ビッグドリーム THE GOLDEN PUSHER,S,,,
Lスマスロ マギアレコード 魔法少女まどか☆マギカ外伝,S,,,
Lスマスロ ミリオンゴッド-神々の軌跡-,S,,,
Lスマスロ モンスターハンターライズ,S,,,
Lスマスロ 一方通行 とある魔術の禁書目録,S,,,
Lスマスロ 化物語,S,,,
Lスマスロ 北斗の拳 転生の章2,S,,,
Lスマスロ 戦国BASARA GIGA,S,,,
Lスマスロ 攻殻機動隊(2026年),S,,,
Lスマスロ 新鬼武者3,S,,,
Lスマスロ 東京リベンジャーズ,S,,,
