machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
PヤッターマンVVV-YCE,P,2020-03-18,8,14340.0,25290,6190,27960.375,48234,6142.125,10790,2020-06-10,6550,12715,2725,4,7202.5,14340.0,P_6cae47fc04,PヤッターマンVVV-YCE,サンスリー,,,パチンコ,False,False,28.07,13.09,46.95,1.77,38.45,20.1,41.99,9.73,24.07,D,PヤッターマンVVV-YCEは平均稼働14340、平均粗利6142、稼働貢献週4週。人気指数20.1、粗利指数42.0、寿命指数9.7。
P攻殻機動隊SAC_2045 大入りLTver,P,2025-05-14,7,14088.57142857143,23620,8580,27563.571428571428,45021,5538.571428571428,9919,2025-07-02,8590,17112,3762,4,10140.0,14088.57142857143,P_152cbf4fe5,P攻殻機動隊SAC_2045 大入りLTver,ディ・ライト,,,LT,False,True,27.47,18.02,44.39,1.77,36.78,20.9,39.95,10.64,24.05,D,P攻殻機動隊SAC_2045 大入りLTverは平均稼働14089、平均粗利5539、稼働貢献週4週。人気指数20.9、粗利指数40.0、寿命指数10.6。
PA世紀末・天才バカボン～神SPEC凱旋～ 99ver.,P,2025-01-15,5,14702.0,22540,9310,28275.2,42400,4608.8,6096,2025-02-12,9310,18142,2752,4,12742.5,14702.0,P_2bb1bea3a2,PA世紀末・天才バカボン～神SPEC凱旋～ 99ver.,ディ・ライト,,,甘デジ/ライト,False,False,28.93,19.76,40.45,1.77,35.27,21.84,37.43,11.93,24.04,D,PA世紀末・天才バカボン～神SPEC凱旋～ 99ver.は平均稼働14702、平均粗利4609、稼働貢献週4週。人気指数21.8、粗利指数37.4、寿命指数11.9。
PAフィーバーアクエリオン ALL STARS LIGHT ver.,P,2020-08-26,13,14651.538461538461,27920,8950,22683.53846153846,41612,4418.692307692308,8853,2020-11-25,8950,13946,2652,11,9950.0,13545.833333333334,P_9c4a645cc9,PAフィーバーアクエリオン ALL STARS LIGHT ver.,SANKYO,,,甘デジ/ライト,False,False,28.81,18.89,39.65,4.87,34.77,22.14,36.8,12.1,24.03,D,PAフィーバーアクエリオン ALL STARS LIGHT ver.は平均稼働14652、平均粗利4419、稼働貢献週11週。人気指数22.1、粗利指数36.8、寿命指数12.1。
eフィーバー彼女、お借りします H,P,2025-06-11,11,14306.363636363636,29500,8150,32628.454545454544,65769,5107.090909090909,7391,2025-09-10,8150,18929,3249,8,9420.0,14306.363636363636,P_42f79e44aa,eフィーバー彼女、お借りします H,SANKYO,,,スマパチ,True,False,27.99,16.95,42.57,3.54,36.01,21.14,38.74,11.57,24.03,D,eフィーバー彼女、お借りします Hは平均稼働14306、平均粗利5107、稼働貢献週8週。人気指数21.1、粗利指数38.7、寿命指数11.6。
P10カウントチャージ 絶狼 神撃135Ver.,P,2022-11-16,2,15020.0,18040,12000,28531.0,34003,3636.5,4079,2022-11-24,12000,23059,3194,2,15020.0,15020.0,P_2079b56326,P10カウントチャージ 絶狼 神撃135Ver.,サンセイR&D,,,パチンコ,False,False,29.69,26.26,36.33,0.88,33.34,23.44,34.59,12.4,24.02,D,P10カウントチャージ 絶狼 神撃135Ver.は平均稼働15020、平均粗利3636、稼働貢献週2週。人気指数23.4、粗利指数34.6、寿命指数12.4。
eシャーマンキング MH,P,2025-08-13,5,14070.0,23860,7860,33928.0,56930,5583.4,9714,2025-09-17,7860,18826,2919,4,11622.5,14070.0,P_e9a919a361,eシャーマンキング MH,メーシー,,,スマパチ,True,False,27.43,16.25,44.58,1.77,36.86,20.45,40.08,11.16,24.02,D,eシャーマンキング MHは平均稼働14070、平均粗利5583、稼働貢献週4週。人気指数20.4、粗利指数40.1、寿命指数11.2。
P転生したらスライムだった件 129ver.,P,2025-11-12,5,16260.0,22460,10180,26724.4,35663,2783.2,3572,2025-12-10,10180,17075,2336,5,14710.0,16260.0,P_e3df0fadd3,P転生したらスライムだった件 129ver.,サンセイR&D,,転生,パチンコ,False,False,32.65,21.86,32.71,2.21,32.68,23.87,32.69,13.83,24.01,D,P転生したらスライムだった件 129ver.は平均稼働16260、平均粗利2783、稼働貢献週5週。人気指数23.9、粗利指数32.7、寿命指数13.8。
e牙狼11～冴島大河～ 魔戒BURST Ver.,P,2026-03-11,7,13467.142857142857,24790,8080,30570.428571428572,55545,6070.285714285715,11224,2026-04-22,8080,18545,3425,5,9765.0,13467.142857142857,P_1f29a7a8fb,e牙狼11～冴島大河～ 魔戒BURST Ver.,サンセイR&D,牙狼,,スマパチ,True,False,25.99,16.79,46.65,2.21,37.35,20.07,41.23,10.4,24.0,D,e牙狼11～冴島大河～ 魔戒BURST Ver.は平均稼働13467、平均粗利6070、稼働貢献週5週。人気指数20.1、粗利指数41.2、寿命指数10.4。
PA真・暴れん坊将軍 双撃 99Ver.,P,2022-05-18,5,15794.0,21750,11160,20778.6,27964,2910.2,3796,2022-06-15,11160,14900,2214,5,14305.0,15794.0,P_c16067067d,PA真・暴れん坊将軍 双撃 99Ver.,藤商事,,,甘デジ/ライト,False,False,31.54,24.23,33.25,2.21,32.48,23.94,32.8,13.41,23.97,D,PA真・暴れん坊将軍 双撃 99Ver.は平均稼働15794、平均粗利2910、稼働貢献週5週。人気指数23.9、粗利指数32.8、寿命指数13.4。
Pアナザーゴッドハーデス-狂乱- MC,P,2023-07-12,4,13697.5,21670,8200,32297.5,50434,5675.25,8840,2023-08-02,8200,19597,3367,3,13697.5,13697.5,P_561083b0ca,Pアナザーゴッドハーデス-狂乱- MC,メーシー,ゴッド,,パチンコ,False,False,26.54,17.08,44.97,1.33,36.68,20.15,40.13,11.41,23.96,D,Pアナザーゴッドハーデス-狂乱- MCは平均稼働13698、平均粗利5675、稼働貢献週3週。人気指数20.1、粗利指数40.1、寿命指数11.4。
Pバンドリ! Light ver.,P,2025-03-12,5,14914.0,22310,10020,23103.8,33605,4043.0,5792,2025-04-09,10020,15955,2414,5,13065.0,14914.0,P_a79177c1da,Pバンドリ! Light ver.,平和,,,パチンコ,False,False,29.44,21.47,38.05,2.21,34.18,22.48,35.79,12.44,23.96,D,Pバンドリ! Light ver.は平均稼働14914、平均粗利4043、稼働貢献週5週。人気指数22.5、粗利指数35.8、寿命指数12.4。
Pめぞん一刻～Wedding Story～ 甘デジ,P,2022-07-06,6,14541.666666666666,22140,9440,21202.5,32478,4604.0,7168,2022-08-10,9440,13931,3018,5,11732.5,14541.666666666666,P_73fc0c560e,Pめぞん一刻～Wedding Story～ 甘デジ,アムテックス,,,甘デジ/ライト,False,False,28.55,20.07,40.43,2.21,35.08,21.82,37.31,11.74,23.95,D,Pめぞん一刻～Wedding Story～ 甘デジは平均稼働14542、平均粗利4604、稼働貢献週5週。人気指数21.8、粗利指数37.3、寿命指数11.7。
