raw_machine_name,suggested_machine_id,suggested_formal_machine_name,suggested_category,suggested_series_name,suggested_sub_series_name,suggested_machine_type,reason,review_status
Pガールズ＆パンツァー 劇場版 L9YU3Y,P_16a3071712,Pガールズ＆パンツァー 劇場版 L9YU3Y,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pガールズ＆パンツァー 劇場版 甘デジ,P_cb7eb356e2,Pガールズ＆パンツァー 劇場版 甘デジ,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pガールフレンド(仮) M2-K YT500,P_3ce4db2d7e,Pガールフレンド(仮) M2-K YT500,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pキャッツ・アイ～最高のお宝、頂きに上がります～ Sweet Treasures ver.,P_96c70cc791,Pキャッツ・アイ～最高のお宝、頂きに上がります～ Sweet Treasures ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pキャプテン翼 2020 NL,P_edb2319948,Pキャプテン翼 2020 NL,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pキャプテン翼 石崎バージョン,P_9254eaaf5c,Pキャプテン翼 石崎バージョン,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pキャプテン翼 若林Ver.,P_14b9fb4db3,Pキャプテン翼 若林Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pキャプテン翼 若林甘えんなよ! Ver.,P_f11bdc3a43,Pキャプテン翼 若林甘えんなよ! Ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pキュインぱちんこ ピンク・レディー しんぷる,P_12020d9b69,Pキュインぱちんこ ピンク・レディー しんぷる,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pギルティクラウン2 ME,P_f366366ff1,Pギルティクラウン2 ME,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pギルティクラウン2 プレミアムライブチケット,P_1217fc41ee,Pギルティクラウン2 プレミアムライブチケット,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pギンギラパラダイス 夢幻カーニバル 199ver.,P_81744f1776,Pギンギラパラダイス 夢幻カーニバル 199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pギンギラパラダイス 夢幻カーニバル 319ver.,P_a626f1b237,Pギンギラパラダイス 夢幻カーニバル 319ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pクイーンズブレイド3 ナナエルVer.,P_c03848dbe0,Pクイーンズブレイド3 ナナエルVer.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pクイーンズブレイド3 レイナVer.,P_2084662077,Pクイーンズブレイド3 レイナVer.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pクイーンズブレイド4 UNLIMITED V1D,P_ef1739bf75,Pクイーンズブレイド4 UNLIMITED V1D,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pクイーンズブレイド4 ナナエルver.,P_11c296b497,Pクイーンズブレイド4 ナナエルver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pクイーンズブレイド奈落 5400,P_5f6eba0fe1,Pクイーンズブレイド奈落 5400,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pクイーンズブレイド奈落 ナナエル79Ver.,P_b67add4598,Pクイーンズブレイド奈落 ナナエル79Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pゲゲゲの鬼太郎 獅子奮迅 99ver.,P_90983fc84b,Pゲゲゲの鬼太郎 獅子奮迅 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pゲゲゲの鬼太郎 獅子奮迅 RRZ,P_b89c7ef205,Pゲゲゲの鬼太郎 獅子奮迅 RRZ,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pコードギアス 反逆のルルーシュ Light ver.,P_c31fbb555b,Pコードギアス 反逆のルルーシュ Light ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pコードギアス 反逆のルルーシュ Rebellion to Re;surrection ライト ver.,P_50791140cd,Pコードギアス 反逆のルルーシュ Rebellion to Re;surrection ライト ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pコードギアス 反逆のルルーシュ Rebellion to Re；surrection V,P_01d117478c,Pコードギアス 反逆のルルーシュ Rebellion to Re；surrection V,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pコードギアス 反逆のルルーシュ Rebellion to Re；surrection ライト ver.,P_ea1f387c56,Pコードギアス 反逆のルルーシュ Rebellion to Re；surrection ライト ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pコードギアス 反逆のルルーシュ bR,P_be3f97e3e5,Pコードギアス 反逆のルルーシュ bR,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pコードギアス 反逆のルルーシュ ライトミドルver.,P_462a41a7f7,Pコードギアス 反逆のルルーシュ ライトミドルver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pゴブリンスレイヤー JGZ,P_4e7ee98736,Pゴブリンスレイヤー JGZ,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pゴブリンスレイヤー ラッキートリガーVer,P_faa9801989,Pゴブリンスレイヤー ラッキートリガーVer,P,,,LT,series_name未分類のため確認推奨,pending
Pサラリーマン金太郎 159をなめんじゃねぇver.,P_2d5b52d5f7,Pサラリーマン金太郎 159をなめんじゃねぇver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pサラリーマン金太郎 FMY,P_8dcb6a7794,Pサラリーマン金太郎 FMY,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pシティーハンター 俺の心を震わせた日 H1YZ7,P_30230ced34,Pシティーハンター 俺の心を震わせた日 H1YZ7,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pシティーハンター 俺の心を震わせた日 凄ライトミドル,P_426a5751a5,Pシティーハンター 俺の心を震わせた日 凄ライトミドル,P,,,パチンコ,series_name未分類のため確認推奨,pending
PシンデレラブレイドJQX,P_d1b165dd49,PシンデレラブレイドJQX,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pジューシーハニー ハーレム MF,P_c855d014d2,Pジューシーハニー ハーレム MF,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pジューシーハニー2 REY2,P_15ee898c13,Pジューシーハニー2 REY2,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pジューシーハニー3 MGY2,P_f0a962e594,Pジューシーハニー3 MGY2,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pジューシーハニー3 てんこ盛り連写RUSH RCY3,P_839ce7c035,Pジューシーハニー3 てんこ盛り連写RUSH RCY3,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pストライクウィッチーズ2 129ver.,P_881e738923,Pストライクウィッチーズ2 129ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pストライクウィッチーズ2 HCL,P_276ff95e47,Pストライクウィッチーズ2 HCL,P,,,パチンコ,series_name未分類のため確認推奨,pending
PストリートファイターⅤ FRY,P_04f384ea93,PストリートファイターⅤ FRY,P,,,パチンコ,series_name未分類のため確認推奨,pending
PストリートファイターⅤ K.O.RUSH FMW,P_388b842b34,PストリートファイターⅤ K.O.RUSH FMW,P,,,パチンコ,series_name未分類のため確認推奨,pending
PストリートファイターⅤ K.O.RUSH LIGHT EDITION,P_682ac04d23,PストリートファイターⅤ K.O.RUSH LIGHT EDITION,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pスーパーコンビ α7500,P_fb44839d2c,Pスーパーコンビ α7500,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pゾンビランドサガ SCPC,P_84c6cd4a9f,Pゾンビランドサガ SCPC,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pターミネーター2 TYPE 7500,P_60979f3ee6,Pターミネーター2 TYPE 7500,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pダイナマイトキング ～無敵SPEC～ FN-T,P_82d92f38c5,Pダイナマイトキング ～無敵SPEC～ FN-T,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pダンガンロンパ M6-V1,P_d1f14687bf,Pダンガンロンパ M6-V1,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pツインループ花満開 XD,P_426ec542fc,Pツインループ花満開 XD,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pデジハネ蒼天の拳 双龍 GSB,P_9e9ee7c6ba,Pデジハネ蒼天の拳 双龍 GSB,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pデビルマン 疾風迅雷 129ver.,P_3c6cbd6580,Pデビルマン 疾風迅雷 129ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pデビルマン 疾風迅雷 S-X1 YT959,P_80c5883e83,Pデビルマン 疾風迅雷 S-X1 YT959,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pデビルマン 黄金黙示録 N-K1 YT250,P_3c0693f246,Pデビルマン 黄金黙示録 N-K1 YT250,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pデビルメイクライ4 OUT OF LIMIT AA,P_f8a0fe8ef3,Pデビルメイクライ4 OUT OF LIMIT AA,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pデビルメイクライ4 クレイジーバトル MD,P_90966cf66a,Pデビルメイクライ4 クレイジーバトル MD,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pドラムだ!金ドン 花火外伝 99ver.,P_f8a94b2d64,Pドラムだ!金ドン 花火外伝 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pドラムだ!金ドン 花火外伝 MP,P_c976d38f73,Pドラムだ!金ドン 花火外伝 MP,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pドラム花火の源さん HCB,P_3b3191dc27,Pドラム花火の源さん HCB,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pニュートキオ GREEN V1,P_f7b91ea215,Pニュートキオ GREEN V1,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pネオモンスターハウス 99Ver.,P_9342396226,Pネオモンスターハウス 99Ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PハイスクールD×D 真紅 MC,P_7ce2516ca0,PハイスクールD×D 真紅 MC,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pハイスクール・フリート MA,P_8c0d8a7b02,Pハイスクール・フリート MA,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pハイスクール・フリート オールスター MH,P_76fb2841e6,Pハイスクール・フリート オールスター MH,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pハネモノ ファミリースタジアム MD,P_edb2f314fa,Pハネモノ ファミリースタジアム MD,P,,,羽根物,series_name未分類のため確認推奨,pending
Pバイオハザード RE:2 H1YZ3,P_8873c01a69,Pバイオハザード RE:2 H1YZ3,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pバイオハザード RE:2 LTver.,P_e2794a4cb7,Pバイオハザード RE:2 LTver.,P,,,LT,series_name未分類のため確認推奨,pending
Pバキ 319ver.,P_c436a44df5,Pバキ 319ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pバベル5000 MN,P_6cb57855fc,Pバベル5000 MN,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pバンドリ! H1YZ4,P_43a13a6901,Pバンドリ! H1YZ4,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pバンドリ! Light ver.,P_a79177c1da,Pバンドリ! Light ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pバーストエンジェル3 199Ver,P_db50b0a068,Pバーストエンジェル3 199Ver,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pパイレーツオブダイナマイトキング AG-JJJS,P_cc68049e83,Pパイレーツオブダイナマイトキング AG-JJJS,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pパチンコ閃乱カグラ2 胸躍る199Ver.,P_1e79bba9b5,Pパチンコ閃乱カグラ2 胸躍る199Ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PパトラッシュV GREEN,P_26032b6353,PパトラッシュV GREEN,P,,,パチンコ,series_name未分類のため確認推奨,pending
PパトラッシュV RED,P_4a79137f64,PパトラッシュV RED,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pビッグドリーム2 激神 199ver.,P_12a981ac4e,Pビッグドリーム2 激神 199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pビッグドリーム2 激神 GFE,P_eed4f9a549,Pビッグドリーム2 激神 GFE,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pビッグドリーム3 77ver.,P_5ee67f9752,Pビッグドリーム3 77ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pビッグドリーム3 SFJJ,P_de2ddc3862,Pビッグドリーム3 SFJJ,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pビビッドレッド・オペレーション M-K YT599,P_535f09d1b6,Pビビッドレッド・オペレーション M-K YT599,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pフィーバー バイオハザード リベレーションズ2 Z,P_03f92f84b1,Pフィーバー バイオハザード リベレーションズ2 Z,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー 機動戦士ガンダムユニコーン b,P_c870456931,Pフィーバー 機動戦士ガンダムユニコーン b,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーありふれた職業で世界最強 Light ver.,P_5fad1cdf5e,Pフィーバーありふれた職業で世界最強 Light ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーありふれた職業で世界最強 R,P_a03dc13262,Pフィーバーありふれた職業で世界最強 R,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーうたわれるもの 199ver.,P_0751ce8fff,Pフィーバーうたわれるもの 199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pフィーバーうたわれるもの LT-Light ver.,P_b15dbb2aa7,Pフィーバーうたわれるもの LT-Light ver.,P,,,LT,series_name未分類のため確認推奨,pending
Pフィーバーかぐや様は告らせたい R,P_0f7aab4ee3,Pフィーバーかぐや様は告らせたい R,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーからくりサーカス Light ver.,P_d0f09565ca,Pフィーバーからくりサーカス Light ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーからくりサーカス V,P_feaa7b5ac9,Pフィーバーからくりサーカス V,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーアイドルマスター ミリオンライブ! 39フェスver.,P_ba2039bc96,Pフィーバーアイドルマスター ミリオンライブ! 39フェスver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーアイドルマスター ミリオンライブ! PREMIUM 39LIVE TOUR,P_d766d1dc3d,Pフィーバーアイドルマスター ミリオンライブ! PREMIUM 39LIVE TOUR,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバーアクエリオンW 気持ちいい～！ver.,P_919b5770b4,PフィーバーアクエリオンW 気持ちいい～！ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーアクエリオン極合体 F,P_384f0afa4e,Pフィーバーアクエリオン極合体 F,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバークィーンRUSH Y,P_6cafee2f00,PフィーバークィーンRUSH Y,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバークィーンⅡ,P_bd92e83927,PフィーバークィーンⅡ,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバークィーンⅡ YS,P_9ff346e1d3,PフィーバークィーンⅡ YS,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバークィーンⅡ30th ANNIVERSARY EDITION V,P_8cf6c835e2,PフィーバークィーンⅡ30th ANNIVERSARY EDITION V,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーゴルゴ13 Light ver.(2022年),P_313d6fa831,Pフィーバーゴルゴ13 Light ver.(2022年),P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーゴルゴ13 疾風Ver.,P_f4be5be20c,Pフィーバーゴルゴ13 疾風Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーゴルゴ13 疾風マシンガンVer.,P_273f40acd5,Pフィーバーゴルゴ13 疾風マシンガンVer.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバースプラッシュ×スプラッシュ,P_43f657c042,Pフィーバースプラッシュ×スプラッシュ,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバータイガーマスクW Light ver.,P_ddda43b1f6,PフィーバータイガーマスクW Light ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバータイガーマスクW R,P_bd21644022,PフィーバータイガーマスクW R,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーダンジョンに出会いを求めるのは間違っているだろうか F,P_40cd476bd1,Pフィーバーダンジョンに出会いを求めるのは間違っているだろうか F,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーダンベル何キロ持てる? V,P_7eff5bfa38,Pフィーバーダンベル何キロ持てる? V,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバートータル・イクリプス V,P_66ca2abedf,Pフィーバートータル・イクリプス V,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバーパワフルⅢ-F,P_23df97a637,PフィーバーパワフルⅢ-F,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバーマクロスΔ A,P_e39b7216e0,PフィーバーマクロスΔ A,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバーマクロスΔ F,P_56e51609d4,PフィーバーマクロスΔ F,P,,,パチンコ,series_name未分類のため確認推奨,pending
PフィーバーマクロスΔ V-ラッシュver.,P_04ef37c15c,PフィーバーマクロスΔ V-ラッシュver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーマクロスフロンティア4 A,P_75d3287fa6,Pフィーバーマクロスフロンティア4 A,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバーマクロスフロンティア5 LT-Light ver.,P_762afea842,Pフィーバーマクロスフロンティア5 LT-Light ver.,P,,,LT,series_name未分類のため確認推奨,pending
Pフィーバーマクロスフロンティア5 W,P_82d90d4eba,Pフィーバーマクロスフロンティア5 W,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー三国戦騎 7500,P_14f78cbba7,Pフィーバー三国戦騎 7500,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー彼女、お借りします LT-Light ver.,P_55a343bd0a,Pフィーバー彼女、お借りします LT-Light ver.,P,,,LT,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア LIGHT ver. 遊タイム付,P_1ea70f3acc,Pフィーバー戦姫絶唱シンフォギア LIGHT ver. 遊タイム付,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア2,P_cd1f0b1b4c,Pフィーバー戦姫絶唱シンフォギア2,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア2 1/230 ver.,P_b23cee3203,Pフィーバー戦姫絶唱シンフォギア2 1/230 ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア2 1/77ver.,P_b26cb833f2,Pフィーバー戦姫絶唱シンフォギア2 1/77ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア3 黄金絶唱 LIGHT ver.,P_8ea6bba02c,Pフィーバー戦姫絶唱シンフォギア3 黄金絶唱 LIGHT ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア3 黄金絶唱 N,P_84f720a264,Pフィーバー戦姫絶唱シンフォギア3 黄金絶唱 N,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア4 199ver.,P_3f9b00a6fb,Pフィーバー戦姫絶唱シンフォギア4 199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア4 LT-Light ver.,P_184fa99935,Pフィーバー戦姫絶唱シンフォギア4 LT-Light ver.,P,,,LT,series_name未分類のため確認推奨,pending
Pフィーバー戦姫絶唱シンフォギア4 Light ver.,P_09ae9f5555,Pフィーバー戦姫絶唱シンフォギア4 Light ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー機動戦士ガンダム 逆襲のシャア Z,P_d83b1dae83,Pフィーバー機動戦士ガンダム 逆襲のシャア Z,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー機動戦士ガンダムSEED LT-Light ver.,P_cd9a3ab216,Pフィーバー機動戦士ガンダムSEED LT-Light ver.,P,,,LT,series_name未分類のため確認推奨,pending
Pフィーバー機動戦士ガンダムSEED S,P_ca9c22add3,Pフィーバー機動戦士ガンダムSEED S,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー機動戦士ガンダムユニコーン b,P_4edde606a7,Pフィーバー機動戦士ガンダムユニコーン b,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- S,P_b7812d103c,Pフィーバー機動戦士ガンダムユニコーン 再来 -白き一角獣と黒き獅子- S,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー機動戦士ガンダムユニコーン 再来 129ver.,P_d8ea3a3144,Pフィーバー機動戦士ガンダムユニコーン 再来 129ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー機動戦士ガンダムユニコーン再来 129ver.,P_ebbb1bbba9,Pフィーバー機動戦士ガンダムユニコーン再来 129ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー炎炎ノ消防隊 G,P_79c8cede5f,Pフィーバー炎炎ノ消防隊 G,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー炎炎ノ消防隊 Light ver.,P_74ae0af22c,Pフィーバー炎炎ノ消防隊 Light ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pフィーバー真花月2 夜桜バージョン,P_658308aa74,Pフィーバー真花月2 夜桜バージョン,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pブラックラグーン4 EXTRA BULLET 129ver.,P_038d4ce936,Pブラックラグーン4 EXTRA BULLET 129ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pブラックラグーン4 GFPJ,P_636e3f4cc9,Pブラックラグーン4 GFPJ,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pベルセルク無双 119ver.,P_9fa6f61b53,Pベルセルク無双 119ver.,P,,無双,パチンコ,series_name未分類のため確認推奨,pending
Pベルセルク無双 M-Z,P_2bd798c51d,Pベルセルク無双 M-Z,P,,無双,パチンコ,series_name未分類のため確認推奨,pending
Pベルセルク無双 冥府魔道ver. M12-Z,P_3478c96c9f,Pベルセルク無双 冥府魔道ver. M12-Z,P,,無双,パチンコ,series_name未分類のため確認推奨,pending
Pホームランキング 9AV2S,P_2fb22b15ff,Pホームランキング 9AV2S,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pホー助くん YKBU2,P_772782b55d,Pホー助くん YKBU2,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pポチッと一発!おだてブタ2 V1,P_548059b053,Pポチッと一発!おだてブタ2 V1,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pミニミニモンスター4 a,P_ca5b37d105,Pミニミニモンスター4 a,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pメイドインアビス 奈落の連環蝕 SL,P_7a36920ce2,Pメイドインアビス 奈落の連環蝕 SL,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pメイドインアビス 虹の黄金域 MR,P_1012e3a05c,Pメイドインアビス 虹の黄金域 MR,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pモモキュンソード GC250A,P_9a32b093a9,Pモモキュンソード GC250A,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pモモキュンソード MC,P_16a0b81006,Pモモキュンソード MC,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pモモキュンソード 閃撃 GCA,P_c9560dd14f,Pモモキュンソード 閃撃 GCA,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pモモキュンソード 閃撃 MD,P_6769043f2b,Pモモキュンソード 閃撃 MD,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pモンスターハンター ダブルクロス SFB,P_41262ac527,Pモンスターハンター ダブルクロス SFB,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pモンスターハンター ダブルクロス 連続狩猟ver.,P_d15e86873f,Pモンスターハンター ダブルクロス 連続狩猟ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pモンスターハンターライズ GRPG,P_7bd332f52a,Pモンスターハンターライズ GRPG,P,,,パチンコ,series_name未分類のため確認推奨,pending
PヤッターマンVVV-YCE,P_6cae47fc04,PヤッターマンVVV-YCE,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pラブ嬢 ～極嬢のハーレム体験～ 129ver.,P_da8d16ffa2,Pラブ嬢 ～極嬢のハーレム体験～ 129ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pラブ嬢 ～極嬢のハーレム体験～ H1YZ6,P_3b6d28d295,Pラブ嬢 ～極嬢のハーレム体験～ H1YZ6,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pラブ嬢～極嬢のハーレム体験～ H1YZ6,P_9265efdbe4,Pラブ嬢～極嬢のハーレム体験～ H1YZ6,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pリアル鬼ごっこ2 全力疾走チャージ王様ver.,P_c3097c5966,Pリアル鬼ごっこ2 全力疾走チャージ王様ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pリアル鬼ごっこ2 全力疾走チャージ鬼Ver.,P_0f4e524fc6,Pリアル鬼ごっこ2 全力疾走チャージ鬼Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pリング バースデイ 呪いの始まり FRX設定付,P_ac1de0b880,Pリング バースデイ 呪いの始まり FRX設定付,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pリング 呪いの7日間2 FSA,P_6e4a656545,Pリング 呪いの7日間2 FSA,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pリング 呪いの7日間2 JN,P_12ee52f887,Pリング 呪いの7日間2 JN,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pリング 呪いの7日間3 JMA,P_36d762d583,Pリング 呪いの7日間3 JMA,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pリング 呪いの7日間3 ラッキートリガーVer.,P_0f0190eef0,Pリング 呪いの7日間3 ラッキートリガーVer.,P,,,LT,series_name未分類のため確認推奨,pending
Pリング 呪いの7日間3 甘デジver.,P_e3ef5bb302,Pリング 呪いの7日間3 甘デジver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pワイルドロデオ 6750だぜぇ S2,P_54d5848824,Pワイルドロデオ 6750だぜぇ S2,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pワンパンマン 199ver.,P_d14aa248d1,Pワンパンマン 199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
Pワンパンマン L3-MX,P_a67875af2c,Pワンパンマン L3-MX,P,,,パチンコ,series_name未分類のため確認推奨,pending
Pヱヴァンゲリヲン13 プレミアムモデル,P_281b70efe2,Pヱヴァンゲリヲン13 プレミアムモデル,P,,,パチンコ,series_name未分類のため確認推奨,pending
P一球魂GOLDピラミッ伝 V1E,P_482801e9f2,P一球魂GOLDピラミッ伝 V1E,P,,,パチンコ,series_name未分類のため確認推奨,pending
P一騎当千SS斬 呂蒙Ver.,P_bdced12cf2,P一騎当千SS斬 呂蒙Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P一騎当千SS斬 孫策Ver.,P_8c56360629,P一騎当千SS斬 孫策Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
