raw_machine_name,suggested_machine_id,suggested_formal_machine_name,suggested_category,suggested_series_name,suggested_sub_series_name,suggested_machine_type,reason,review_status
L 新・必殺仕置人 回胴 CRASH SPEC,P_79c10ad3aa,L 新・必殺仕置人 回胴 CRASH SPEC,P,,,パチンコ,series_name未分類のため確認推奨,pending
L少女☆歌劇 レヴュースタァライト -The SLOT-,P_e95b11e381,L少女☆歌劇 レヴュースタァライト -The SLOT-,P,,,パチンコ,series_name未分類のため確認推奨,pending
L銀河英雄伝説 Die Neue These,P_6a61814c43,L銀河英雄伝説 Die Neue These,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,P_0112233cf5,P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P 009 RE:CYBORG ACCELERATOR EDITION M4-K,P_8b3c3d8957,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 10カウントチャージ 絶狼,P_5944fa2ee1,P 10カウントチャージ 絶狼,P,,,パチンコ,series_name未分類のため確認推奨,pending
P <物語>シリーズ セカンドシーズン GEE,P_940cabda08,P <物語>シリーズ セカンドシーズン GEE,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ANOTHER WILD RODEO～スギちゃんっス～ ST2,P_a9c820adb8,P ANOTHER WILD RODEO～スギちゃんっス～ ST2,P,,,パチンコ,series_name未分類のため確認推奨,pending
P CYBORG009 RULE OF SACRIFICE S3-K,P_b09f956dbc,P CYBORG009 RULE OF SACRIFICE S3-K,P,,,パチンコ,series_name未分類のため確認推奨,pending
P CYBORG009 RULE OF SACRIFICE VS SCARL BODY EDITION 199,P_ebb0798f9f,P CYBORG009 RULE OF SACRIFICE VS SCARL BODY EDITION 199,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P FAIRY TAIL 2 JQD,P_86a7bee3ba,P FAIRY TAIL 2 JQD,P,,,パチンコ,series_name未分類のため確認推奨,pending
P FAIRY TAIL 89Ver.,P_2274c7ea46,P FAIRY TAIL 89Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P FAIRY TAIL これが七炎竜の力だ FSA,P_70ed0ee7cb,P FAIRY TAIL これが七炎竜の力だ FSA,P,,,パチンコ,series_name未分類のため確認推奨,pending
P FAIRY TAIL 超一夜Ver.,P_7418129675,P FAIRY TAIL 超一夜Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P GANTZ覚醒 SWEET2000,P_b2128bab8d,P GANTZ覚醒 SWEET2000,P,,,パチンコ,series_name未分類のため確認推奨,pending
P GO!GO!マリン 3000 HCD,P_5b3be53360,P GO!GO!マリン 3000 HCD,P,,,パチンコ,series_name未分類のため確認推奨,pending
P GO!GO!マリン 超連撃BATTLE JTD,P_3deebedf83,P GO!GO!マリン 超連撃BATTLE JTD,P,,,パチンコ,series_name未分類のため確認推奨,pending
P GO!GO!郷 comeback stage M3-X,P_9949096c70,P GO!GO!郷 comeback stage M3-X,P,,,パチンコ,series_name未分類のため確認推奨,pending
P GO!GO!郷 革命の5 M4-VLT,P_a1c81405fc,P GO!GO!郷 革命の5 M4-VLT,P,,,LT,series_name未分類のため確認推奨,pending
P GⅠDREAMROAD MH,P_7e19575883,P GⅠDREAMROAD MH,P,,,パチンコ,series_name未分類のため確認推奨,pending
P J-RUSH5 HSJ-S,P_e32e4015c4,P J-RUSH5 HSJ-S,P,,,パチンコ,series_name未分類のため確認推奨,pending
P J-RUSH5 RSJ-S,P_74e18ff98b,P J-RUSH5 RSJ-S,P,,,パチンコ,series_name未分類のため確認推奨,pending
P JAWS3 SHARK PANIC -深淵- H1AZ5Y,P_9a58025143,P JAWS3 SHARK PANIC -深淵- H1AZ5Y,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P JAWS3 SHARK PANIC -深淵- LIGHT,P_48e1182adc,P JAWS3 SHARK PANIC -深淵- LIGHT,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P NEW TOKIO ハカマタイプ,P_4e40148999,P NEW TOKIO ハカマタイプ,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ROAD TO EDEN GED,P_9b09a8e8ce,P ROAD TO EDEN GED,P,,,パチンコ,series_name未分類のため確認推奨,pending
P STEINS；GATE 0 L2-K,P_f364de7f8d,P STEINS；GATE 0 L2-K,P,,,パチンコ,series_name未分類のため確認推奨,pending
P TENRYU 7 R1,P_e722d0459d,P TENRYU 7 R1,P,,,パチンコ,series_name未分類のため確認推奨,pending
P TIGER & BUNNY ～完全無欠WILDスペック～,P_c77561b5a7,P TIGER & BUNNY ～完全無欠WILDスペック～,P,,,パチンコ,series_name未分類のため確認推奨,pending
P TOKIO BLACK 4500V1,P_150debdf86,P TOKIO BLACK 4500V1,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ToLOVEるダークネス 100ver.,P_76d6cce620,P ToLOVEるダークネス 100ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ToLOVEるダークネス 199ver.,P_9fe59e7134,P ToLOVEるダークネス 199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P ToLOVEるダークネス H1YZ5,P_015a3d6ddf,P ToLOVEるダークネス H1YZ5,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ayumi hamasaki ～LIVE in CASINO～ KG-F,P_c5c68ef557,P ayumi hamasaki ～LIVE in CASINO～ KG-F,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ayumi hamasaki ～LIVE in CASINO～ KG-JJF,P_b584647c7b,P ayumi hamasaki ～LIVE in CASINO～ KG-JJF,P,,,パチンコ,series_name未分類のため確認推奨,pending
P sin 七つの大罪 X-TREME V1K,P_123f385366,P sin 七つの大罪 X-TREME V1K,P,,,パチンコ,series_name未分類のため確認推奨,pending
P sin 七つの大罪 強甘 2400Ver.,P_b134653f70,P sin 七つの大罪 強甘 2400Ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P yes!高須クリニック 超整形BLACK ver.,P_8854c420f5,P yes!高須クリニック 超整形BLACK ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P yes!高須クリニック青天 はじまりは4500,P_f69bce610e,P yes!高須クリニック青天 はじまりは4500,P,,,パチンコ,series_name未分類のため確認推奨,pending
P いくさの子 戦極最強 ドデカ199ver.,P_fb6dd26542,P いくさの子 戦極最強 ドデカ199ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P にゃんこ大戦争 多様性のネコ M4,P_a57b9f5f79,P にゃんこ大戦争 多様性のネコ M4,P,,,パチンコ,series_name未分類のため確認推奨,pending
P にゃんこ大戦争 多様性のネコ 神さまにおまかせ88ver.,P_e35137cf14,P にゃんこ大戦争 多様性のネコ 神さまにおまかせ88ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ひぐらしのなく頃に～彩～ FM-N,P_71ddf39e4e,P ひぐらしのなく頃に～彩～ FM-N,P,,,パチンコ,series_name未分類のため確認推奨,pending
P アズールレーン THE ANIMATION 異次元トリガー 79ver.,P_a46cae3530,P アズールレーン THE ANIMATION 異次元トリガー 79ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P アズールレーン THE ANIMATION 異次元トリガー M4,P_d2aaf5e28e,P アズールレーン THE ANIMATION 異次元トリガー M4,P,,,パチンコ,series_name未分類のため確認推奨,pending
P ウルトラマンメビウス デカヘソ319,P_95496028ea,P ウルトラマンメビウス デカヘソ319,P,,,パチンコ,series_name未分類のため確認推奨,pending
P モモキュンソード 速撃3000+,P_48c4d0c71b,P モモキュンソード 速撃3000+,P,,,パチンコ,series_name未分類のため確認推奨,pending
P モモキュンソード 速撃99ver.,P_7790670b6f,P モモキュンソード 速撃99ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P リングにかけろ1 L5-S,P_3677e4b070,P リングにかけろ1 L5-S,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 俺の妹がこんなに可愛いわけがない。 M3,P_67d3e81ae4,P 俺の妹がこんなに可愛いわけがない。 M3,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 俺の妹がこんなに可愛いわけがない。 攻略!!スキップ159ver.,P_11dff98f2d,P 俺の妹がこんなに可愛いわけがない。 攻略!!スキップ159ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 冬のソナタ My Memory M7,P_fe1e621193,P 冬のソナタ My Memory M7,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 冬のソナタ My Memory SWEET Version,P_43ce006df5,P 冬のソナタ My Memory SWEET Version,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 宇宙戦艦ヤマト2202 超波動 G,P_7d79194055,P 宇宙戦艦ヤマト2202 超波動 G,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 宇宙戦艦ヤマト2202 超波動 森雪 199LT ver.,P_5ec27f69b9,P 宇宙戦艦ヤマト2202 超波動 森雪 199LT ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P 犬夜叉3.0 大入り 甘SPEC,P_770391cddc,P 犬夜叉3.0 大入り 甘SPEC,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
P 百花繚乱 ご奉仕129ver.,P_64a62e17c1,P 百花繚乱 ご奉仕129ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P 織田信奈の野望 下剋上 V1D,P_2cb2eceb41,P 織田信奈の野望 下剋上 V1D,P,,,パチンコ,series_name未分類のため確認推奨,pending
P10カウントチャージ 絶狼 神撃135Ver.,P_2079b56326,P10カウントチャージ 絶狼 神撃135Ver.,P,,,パチンコ,series_name未分類のため確認推奨,pending
P13日の金曜日 ZB,P_ff8da4515f,P13日の金曜日 ZB,P,,,パチンコ,series_name未分類のため確認推奨,pending
PA CYBORG009 CALL OF JUSTICE N-X1,P_83109dc6da,PA CYBORG009 CALL OF JUSTICE N-X1,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA CYBORG009 RULE OF SACRIFICE LT99Ver,P_0459f5613a,PA CYBORG009 RULE OF SACRIFICE LT99Ver,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA FAIRY TAIL 2 JWA,P_bf65d801a7,PA FAIRY TAIL 2 JWA,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA GO!GO!郷 comeback stage 77ver.,P_2c833827bd,PA GO!GO!郷 comeback stage 77ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PA SUPER 電役ナナシーSPECIAL 3VV,P_4b0326e1ba,PA SUPER 電役ナナシーSPECIAL 3VV,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAうる星やつら～ラムのLoveSong～ N-K,P_f7af54221b,PAうる星やつら～ラムのLoveSong～ N-K,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAこの素晴らしい世界に祝福を! 「このゆる甘99に祝福を!」,P_a2420e6229,PAこの素晴らしい世界に祝福を! 「このゆる甘99に祝福を!」,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAでかちりラッシュ AE,P_6fa3765904,PAでかちりラッシュ AE,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぱちんこ キン肉マン3 キン肉星王位争奪編 特盛ミートくんver.,P_f21b6f434a,PAぱちんこ キン肉マン3 キン肉星王位争奪編 特盛ミートくんver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぱちんこ 新・必殺仕置人 TURBO A8,P_83af0d78ed,PAぱちんこ 新・必殺仕置人 TURBO A8,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぱちんこAKB48桜 LIGHTver.,P_2edc6558d9,PAぱちんこAKB48桜 LIGHTver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぱちんこウルトラ6兄弟 Light Version,P_3b85b0f779,PAぱちんこウルトラ6兄弟 Light Version,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
PAぱちんこウルトラセブン2 Light ver.,P_08a296308b,PAぱちんこウルトラセブン2 Light ver.,P,,,甘デジ/ライト,series_name未分類のため確認推奨,pending
