machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
パチスロ 言い訳はさせないわよ!by壇蜜,S,2022-03-02,1,7000.0,7000,7000,11623.0,11623,1062.0,1062,2022-03-02,7000,11623,1062,0,7000.0,7000.0,S_84d0e67a9d,パチスロ 言い訳はさせないわよ!by壇蜜,ワールド,,,パチスロ,False,False,10.55,14.18,25.41,0.0,18.72,10.16,21.51,4.22,12.08,D,パチスロ 言い訳はさせないわよ!by壇蜜は平均稼働7000、平均粗利1062、稼働貢献週0週。人気指数10.2、粗利指数21.5、寿命指数4.2。
BIG島唄-30,S,2022-10-12,9,5912.111111111111,10038,3188,19957.11111111111,32068,3052.5555555555557,4112,2022-12-07,3188,11237,1984,1,4029.75,5912.111111111111,S_a6cbd47edd,BIG島唄-30,平和,,,スロット,False,False,7.95,4.97,33.85,0.44,22.2,7.13,27.05,2.77,12.02,D,BIG島唄-30は平均稼働5912、平均粗利3053、稼働貢献週1週。人気指数7.1、粗利指数27.1、寿命指数2.8。
ヴィーナスゾーン,S,2022-09-14,2,5821.0,7443,4199,19651.5,24802,2799.0,3601,2022-09-21,4199,14501,1997,0,5821.0,5821.0,S_e75f1b04d8,ヴィーナスゾーン,パイオニア,,,スロット,False,False,7.74,7.41,32.78,0.0,21.51,7.49,26.21,3.1,12.01,D,ヴィーナスゾーンは平均稼働5821、平均粗利2799、稼働貢献週0週。人気指数7.5、粗利指数26.2、寿命指数3.1。
沖縄フェスティバル-30(2022年),S,2022-04-13,84,5777.476190476191,12027,4042,10380.869047619048,20112,2061.059523809524,3667,2024-02-14,6073,10193,2405,3,5670.25,5188.166666666667,S_74259696da,沖縄フェスティバル-30(2022年),パイオニア,,,スロット,False,False,7.63,11.94,29.65,1.33,19.74,8.66,23.87,3.46,11.92,D,沖縄フェスティバル-30(2022年)は平均稼働5777、平均粗利2061、稼働貢献週3週。人気指数8.7、粗利指数23.9、寿命指数3.5。
バーサスリヴァイズ,S,2022-01-26,111,6865.216216216216,10366,5735,11345.972972972973,16622,748.2162162162163,1306,2025-09-10,7200,11888,627,1,7382.0,7414.5,S_b66116739a,バーサスリヴァイズ,エレコ,,,スロット,False,False,10.23,14.66,24.08,0.44,17.85,10.14,20.44,4.87,11.91,D,バーサスリヴァイズは平均稼働6865、平均粗利748、稼働貢献週1週。人気指数10.1、粗利指数20.4、寿命指数4.9。
パチスロ モンキーターンⅣ,S,2020-06-03,21,7224.428571428572,10729,2216,20252.190476190477,28967,1913.3809523809523,3081,2025-09-10,2216,7208,454,6,4014.0,5083.083333333333,S_efd23a9f84,パチスロ モンキーターンⅣ,山佐,モンキーターン,,パチスロ,False,False,11.09,2.62,29.02,2.65,20.95,8.27,24.31,3.6,11.91,D,パチスロ モンキーターンⅣは平均稼働7224、平均粗利1913、稼働貢献週6週。人気指数8.3、粗利指数24.3、寿命指数3.6。
麻雀格闘倶楽部 真,S,2021-01-20,15,6211.866666666667,14312,3388,15867.066666666668,33357,2744.8,4754,2022-08-31,3388,9318,1971,2,3479.25,4820.333333333333,S_2545dd75af,麻雀格闘倶楽部 真,コナミ,,,スロット,False,False,8.67,5.45,32.55,0.88,21.8,7.62,26.28,2.19,11.86,D,麻雀格闘倶楽部 真は平均稼働6212、平均粗利2745、稼働貢献週2週。人気指数7.6、粗利指数26.3、寿命指数2.2。
パチスロ うしおととら 雷槍一閃,S,2021-09-15,41,5811.951219512195,17720,3559,19975.536585365855,56398,2626.268292682927,6151,2022-11-09,3996,14365,2004,4,3932.25,4219.25,S_4eed0441d0,パチスロ うしおととら 雷槍一閃,ディ・ライト,,,パチスロ,False,False,7.71,6.92,32.05,1.77,21.1,7.66,25.66,2.52,11.78,D,パチスロ うしおととら 雷槍一閃は平均稼働5812、平均粗利2626、稼働貢献週4週。人気指数7.7、粗利指数25.7、寿命指数2.5。
パチスロ 楽園追放,S,2021-09-15,27,6274.148148148148,16692,4133,14621.111111111111,35805,2033.4814814814815,5332,2022-08-17,5108,11880,1846,3,4509.5,4509.416666666667,S_fc35847e17,パチスロ 楽園追放,サミー,,,パチスロ,False,False,8.82,9.6,29.53,1.33,20.21,8.66,24.09,2.64,11.78,D,パチスロ 楽園追放は平均稼働6274、平均粗利2033、稼働貢献週3週。人気指数8.7、粗利指数24.1、寿命指数2.6。
アバサー,S,2022-09-14,3,5708.666666666667,7635,4650,11728.666666666666,15000,2461.3333333333335,2805,2022-09-28,4841,10155,2434,0,5708.666666666667,5708.666666666667,S_53ae6d3833,アバサー,アムテックス,,,スロット,False,False,7.47,8.96,31.35,0.0,20.6,7.66,25.08,2.99,11.72,D,アバサーは平均稼働5709、平均粗利2461、稼働貢献週0週。人気指数7.7、粗利指数25.1、寿命指数3.0。
パチスロ ディスクアップ,S,2020-10-14,1,8261.0,8261,8261,18077.0,18077,-807.0,-807,2020-10-14,8261,18077,-807,0,8261.0,8261.0,S_7a2cfb47ad,パチスロ ディスクアップ,サミー,,,パチスロ,False,False,13.56,17.22,17.49,0.0,15.72,11.98,16.46,5.42,11.68,D,パチスロ ディスクアップは平均稼働8261、平均粗利-807、稼働貢献週0週。人気指数12.0、粗利指数16.5、寿命指数5.4。
マイフラワー2-30,S,2023-05-17,9,5464.0,9548,3509,15323.666666666666,25249,3118.3333333333335,4680,2023-07-19,3509,10301,2513,0,4036.25,5464.0,S_e3e5ffa8b1,マイフラワー2-30,北電子,,,スロット,False,False,6.88,5.74,34.13,0.0,21.87,6.72,26.98,2.24,11.68,D,マイフラワー2-30は平均稼働5464、平均粗利3118、稼働貢献週0週。人気指数6.7、粗利指数27.0、寿命指数2.2。
GⅠ優駿倶楽部,S,2020-04-30,4,5058.5,5952,3069,13318.5,15636,2763.75,3388,2022-02-09,5527,14042,3388,0,5058.5,5058.5,S_f543f3c3ce,GⅠ優駿倶楽部,KPE,,,スロット,False,False,5.92,10.62,32.63,0.0,20.61,7.38,25.62,2.37,11.6,D,GⅠ優駿倶楽部は平均稼働5058、平均粗利2764、稼働貢献週0週。人気指数7.4、粗利指数25.6、寿命指数2.4。
十字架5,S,2022-04-27,43,5564.209302325581,16320,3384,17466.023255813954,49383,2991.0,8502,2023-06-21,3395,11308,2245,2,3958.75,4080.0833333333335,S_75320b0bcd,十字架5,ネット,,,スロット,False,False,7.12,5.47,33.59,0.88,21.68,6.92,26.64,1.92,11.59,D,十字架5は平均稼働5564、平均粗利2991、稼働貢献週2週。人気指数6.9、粗利指数26.6、寿命指数1.9。
パチスロ ルパン三世(2022年),S,2022-03-16,15,5680.133333333333,13471,3407,19333.8,43515,2938.866666666667,6181,2022-06-29,3407,12024,1760,1,3593.5,4454.25,P_1ac1672cdb,パチスロ ルパン三世(2022年),オリンピア,ルパン三世,,パチンコ,False,False,7.4,5.49,33.37,0.44,21.68,6.96,26.55,1.74,11.53,D,パチスロ ルパン三世(2022年)は平均稼働5680、平均粗利2939、稼働貢献週1週。人気指数7.0、粗利指数26.6、寿命指数1.7。
サンダーVライトニング,S,2020-04-30,2,6449.5,9308,3591,11636.0,16099,1874.5,2474,2025-09-10,3591,7173,1275,0,6449.5,6449.5,S_70f000d541,サンダーVライトニング,アクロス,,,スロット,False,False,9.24,5.94,28.86,0.0,20.03,7.65,23.71,3.7,11.48,D,サンダーVライトニングは平均稼働6450、平均粗利1874、稼働貢献週0週。人気指数7.7、粗利指数23.7、寿命指数3.7。
