machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_sales_4w,avg_gross_profit_4w,recent_week_count,avg_operation_12w,avg_gross_profit_12w,recent12_week_count,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,is_active,latest_operation_score,recent4_operation_score,recent12_operation_score,recent_profit_score,long_lifecycle_score,latest_rank_in_category,recent_rank_penalty,active_popularity_score,legend_score,asset_score,active_grade,legend_grade,asset_grade,ai_comment
e 東京喰種 超デカ 超一撃 ver.,P,2026-06-17,2,42600.0,43930,41270,93030.0,94685,12211.5,13047,2026-06-24,41270,91375,13047,2,42600.0,93030.0,12211.5,2.0,42600.0,12211.5,2.0,P_7513f0ecaf,e 東京喰種 超デカ 超一撃 ver.,ビスティ,東京喰種,,スマパチ,True,False,True,96.98,100.0,100.0,71.68,0.88,2.0,0,91.31,60.65,68.49,S,B,B,e 東京喰種 超デカ 超一撃 ver.は最新稼働41270、直近4週平均稼働42600、稼働貢献週2週。現役人気指数91.3、長期名機指数60.6、ホール資産指数68.5。
eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,P,2026-06-17,2,26810.0,30150,23470,66822.5,74425,10084.0,10834,2026-06-24,23470,59220,9334,2,26810.0,66822.5,10084.0,2.0,26810.0,10084.0,2.0,P_4604205b4a,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,大都技研,ソードアート・オンライン,,スマパチ,True,False,True,53.97,57.71,57.87,59.98,0.88,7.0,0,54.0,41.81,51.84,C,C,C,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08は最新稼働23470、直近4週平均稼働26810、稼働貢献週2週。現役人気指数54.0、長期名機指数41.8、ホール資産指数51.8。
eリコリス・リコイル M3,P,2026-04-15,11,31422.727272727272,43280,22580,71715.18181818182,95087,10762.272727272728,14884,2026-06-24,22580,52532,7790,11,25790.0,59708.0,8470.166666666666,6.0,31422.727272727272,10762.272727272728,11.0,P_dc3a0db759,eリコリス・リコイル M3,ニューギン,,,スマパチ,True,False,True,51.82,54.98,70.18,51.11,4.87,9.0,0,53.42,52.35,50.55,C,C,C,eリコリス・リコイル M3は最新稼働22580、直近4週平均稼働25790、稼働貢献週11週。現役人気指数53.4、長期名機指数52.4、ホール資産指数50.5。
eひきこまり吸血姫の悶々 FHV,P,2026-05-20,6,25523.333333333332,32390,18550,57044.0,70145,8774.666666666666,10476,2026-06-24,18550,42335,7553,6,25523.333333333332,57044.0,8774.666666666666,6.0,25523.333333333332,8774.666666666666,6.0,P_157d26301d,eひきこまり吸血姫の悶々 FHV,藤商事,,,スマパチ,True,False,True,42.08,54.26,54.44,52.78,2.65,21.0,0,47.9,41.24,47.5,C,C,C,eひきこまり吸血姫の悶々 FHVは最新稼働18550、直近4週平均稼働25523、稼働貢献週6週。現役人気指数47.9、長期名機指数41.2、ホール資産指数47.5。
P 魔法少女まどか☆マギカ3 キュゥべえver.,P,2026-06-17,2,22330.0,24480,20180,43189.5,46770,6764.0,7196,2026-06-24,20180,39609,6332,2,22330.0,43189.5,6764.0,2.0,22330.0,6764.0,2.0,P_56b075b770,P 魔法少女まどか☆マギカ3 キュゥべえver.,京楽産業．,まどか☆マギカ,,パチンコ,False,False,True,46.02,45.71,45.92,41.73,0.88,15.0,0,43.2,33.43,39.35,C,D,D,P 魔法少女まどか☆マギカ3 キュゥべえver.は最新稼働20180、直近4週平均稼働22330、稼働貢献週2週。現役人気指数43.2、長期名機指数33.4、ホール資産指数39.4。
eフィーバー デッドマウント・デスプレイ 魂神9000,P,2026-06-17,2,20905.0,23160,18650,50043.5,55035,8846.0,8924,2026-06-24,18650,45052,8768,2,20905.0,50043.5,8846.0,2.0,20905.0,8846.0,2.0,P_1f02c418ae,eフィーバー デッドマウント・デスプレイ 魂神9000,SANKYO,,,スマパチ,True,False,True,42.32,41.89,42.12,53.17,0.88,19.0,0,41.13,33.63,44.34,C,D,C,eフィーバー デッドマウント・デスプレイ 魂神9000は最新稼働18650、直近4週平均稼働20905、稼働貢献週2週。現役人気指数41.1、長期名機指数33.6、ホール資産指数44.3。
e 東京喰種 W,P,2025-04-30,57,25497.543859649122,43260,18980,56059.59649122807,92899,7051.333333333333,15456,2026-06-24,20450,45839,4408,57,20300.0,45275.333333333336,4356.5,6.0,20781.53846153846,4978.384615384615,13.0,P_09426a8154,e 東京喰種 W,ビスティ,東京喰種,,スマパチ,True,False,True,46.67,40.27,41.79,28.49,25.22,14.0,0,40.49,51.05,38.76,C,C,D,e 東京喰種 Wは最新稼働20450、直近4週平均稼働20300、稼働貢献週57週。現役人気指数40.5、長期名機指数51.0、ホール資産指数38.8。
P大海物語5スペシャル ALTA,P,2024-11-13,80,21859.0,31690,18410,33970.2875,47163,3172.4625,5678,2026-06-24,20970,32782,2971,80,19633.333333333332,30625.0,2542.8333333333335,6.0,20815.384615384617,2989.923076923077,13.0,P_c67908752a,P大海物語5スペシャル ALTA,三洋,海物語,大海5,LT,False,True,True,47.93,38.49,41.88,18.51,35.4,12.0,0,39.68,43.4,31.59,D,C,D,P大海物語5スペシャル ALTAは最新稼働20970、直近4週平均稼働19633、稼働貢献週80週。現役人気指数39.7、長期名機指数43.4、ホール資産指数31.6。
PAスーパー海物語IN沖縄6 Withえなこ RBD,P,2026-06-17,2,20390.0,22850,17930,24952.0,27618,4094.0,4187,2026-06-24,17930,22286,4001,2,20390.0,24952.0,4094.0,2.0,20390.0,4094.0,2.0,P_fd7bd6fc9b,PAスーパー海物語IN沖縄6 Withえなこ RBD,三洋,海物語,,甘デジ/ライト,False,False,True,40.59,40.51,40.74,27.04,0.88,25.0,0,37.24,29.1,30.41,D,D,D,PAスーパー海物語IN沖縄6 Withえなこ RBDは最新稼働17930、直近4週平均稼働20390、稼働貢献週2週。現役人気指数37.2、長期名機指数29.1、ホール資産指数30.4。
e 化物語 鬼99ver.,P,2026-06-17,2,18115.0,20090,16140,41532.0,45809,8326.5,9163,2026-06-24,16140,37255,7490,2,18115.0,41532.0,8326.5,2.0,18115.0,8326.5,2.0,P_ce89b519ec,e 化物語 鬼99ver.,サミー,,,スマパチ,True,False,True,36.26,34.42,34.68,50.32,0.88,46.0,0,34.92,29.91,40.99,D,D,C,e 化物語 鬼99ver.は最新稼働16140、直近4週平均稼働18115、稼働貢献週2週。現役人気指数34.9、長期名機指数29.9、ホール資産指数41.0。
PA花の慶次～傾奇一転 87ver.,P,2026-06-17,2,18475.0,20380,16570,27197.5,29458,5920.5,6218,2026-06-24,16570,24937,5623,2,18475.0,27197.5,5920.5,2.0,18475.0,5920.5,2.0,P_5c8f77afef,PA花の慶次～傾奇一転 87ver.,ニューギン,花の慶次,,甘デジ/ライト,False,False,True,37.3,35.38,35.64,37.09,0.88,42.0,0,34.44,28.25,34.35,D,D,D,PA花の慶次～傾奇一転 87ver.は最新稼働16570、直近4週平均稼働18475、稼働貢献週2週。現役人気指数34.4、長期名機指数28.2、ホール資産指数34.4。
P大海物語5 MTE2,P,2023-02-15,168,20555.714285714286,36320,14990,33220.982142857145,55616,2595.095238095238,5126,2026-06-24,17570,28572,2203,168,16328.333333333334,26486.0,1941.0,6.0,16949.23076923077,2202.0,13.0,P_0264d647ff,P大海物語5 MTE2,三洋,海物語,大海5,パチンコ,False,False,True,39.72,29.64,31.57,15.2,74.34,29.0,0,33.74,55.59,33.53,D,B,D,P大海物語5 MTE2は最新稼働17570、直近4週平均稼働16328、稼働貢献週168週。現役人気指数33.7、長期名機指数55.6、ホール資産指数33.5。
e牙狼12黄金騎士極限 XX-MJ,P,2025-08-13,43,21201.86046511628,39080,16270,49606.53488372093,90589,6562.069767441861,15221,2026-06-24,16870,39281,4676,43,17186.666666666668,39977.833333333336,4374.166666666667,6.0,18354.615384615383,4943.384615384615,13.0,P_a9fd9309b8,e牙狼12黄金騎士極限 XX-MJ,サンセイR&D,牙狼,,スマパチ,True,False,True,38.02,31.93,35.31,28.58,19.03,37.0,0,33.28,43.97,35.04,D,C,D,e牙狼12黄金騎士極限 XX-MJは最新稼働16870、直近4週平均稼働17187、稼働貢献週43週。現役人気指数33.3、長期名機指数44.0、ホール資産指数35.0。
Pポチッと一発!おだてブタ2 V1,P,2024-01-17,122,19606.72131147541,42870,16360,11798.524590163934,22970,1552.532786885246,4427,2026-06-24,17180,10269,1042,122,17196.666666666668,10114.333333333334,823.1666666666666,6.0,17486.153846153848,989.3076923076923,13.0,P_548059b053,Pポチッと一発!おだてブタ2 V1,アムテックス,,,パチンコ,False,False,True,38.77,31.96,33.0,9.06,53.98,33.0,0,32.97,50.64,27.97,D,C,D,Pポチッと一発!おだてブタ2 V1は最新稼働17180、直近4週平均稼働17197、稼働貢献週122週。現役人気指数33.0、長期名機指数50.6、ホール資産指数28.0。
遊moreLT PエガブレイブVVV AX4,P,2026-06-17,2,18550.0,21760,15340,24095.5,28189,10986.5,13219,2026-06-24,15340,20002,8754,2,18550.0,24095.5,10986.5,2.0,18550.0,10986.5,2.0,S_2791021c15,遊moreLT PエガブレイブVVV AX4,豊丸,,,スロット,False,True,True,34.33,35.59,35.84,64.95,0.88,65.0,20,16.45,33.18,48.89,D,D,C,遊moreLT PエガブレイブVVV AX4は最新稼働15340、直近4週平均稼働18550、稼働貢献週2週。現役人気指数16.4、長期名機指数33.2、ホール資産指数48.9。
e冥妃転生 CMP,P,2026-06-17,2,18045.0,20280,15810,43146.0,48018,7391.0,7553,2026-06-24,15810,38274,7229,2,18045.0,43146.0,7391.0,2.0,18045.0,7391.0,2.0,P_a3d110e23b,e冥妃転生 CMP,メーシー,,転生,スマパチ,True,False,True,35.46,34.23,34.49,45.17,0.88,54.0,20,14.06,29.15,38.27,D,D,D,e冥妃転生 CMPは最新稼働15810、直近4週平均稼働18045、稼働貢献週2週。現役人気指数14.1、長期名機指数29.1、ホール資産指数38.3。
