machine_id,machine_name,first_seen_date,last_seen_date,data_count,best_cert_machine_name,certification_date,similarity,judge,final_machine_name,memo
1375,Lスマスロ とある科学の超電磁砲2,2025-11-12,2026-04-08,17,Lスマスロ とある科学の超電磁砲2,,1.0,ほぼ一致,,
1272,Lスマスロ ようこそ実力至上主義の教室へ,2025-05-14,2025-09-10,6,Lスマスロ ようこそ実力至上主義の教室へ,,1.0,ほぼ一致,,
1266,Lスマスロ アイドルマスター ミリオンライブ! ネクストプロローグ,2025-04-30,2025-09-10,5,Lスマスロ アイドルマスター ミリオンライブ! ネクストプロローグ,,1.0,ほぼ一致,,
1296,Lスマスロ ギルティクラウン2,2025-06-11,2025-09-10,7,Lスマスロ ギルティクラウン2,,1.0,ほぼ一致,,
1113,Lスマスロ ゲゲゲの鬼太郎 覚醒,2024-08-21,2025-09-10,14,Lスマスロ ゲゲゲの鬼太郎 覚醒,,1.0,ほぼ一致,,
1017,Lスマスロ コードギアス 反逆のルルーシュ/復活のルルーシュ,2024-02-14,2025-09-10,10,Lスマスロ コードギアス 反逆のルルーシュ/復活のルルーシュ,,1.0,ほぼ一致,,
1107,Lスマスロ ゴッドイーター リザレクション,2024-07-31,2026-01-07,69,Lスマスロ ゴッドイーター リザレクション,,1.0,ほぼ一致,,
1427,Lスマスロ ゴブリンスレイヤーⅡ,2026-02-11,2026-03-18,6,Lスマスロ ゴブリンスレイヤーⅡ,,1.0,ほぼ一致,,
1053,Lスマスロ ゴールデンカムイ,2024-04-17,2026-04-29,18,Lスマスロ ゴールデンカムイ,,1.0,ほぼ一致,,
1223,Lスマスロ シャーマンキング,2025-02-12,2026-06-17,54,Lスマスロ シャーマンキング,,1.0,ほぼ一致,,
1054,Lスマスロ ストライク・ザ・ブラッド,2024-04-17,2025-09-10,10,Lスマスロ ストライク・ザ・ブラッド,,1.0,ほぼ一致,,
1082,Lスマスロ ストリートファイターV 挑戦者の道,2024-06-12,2024-06-19,2,Lスマスロ ストリートファイターV 挑戦者の道,,1.0,ほぼ一致,,
1475,Lスマスロ スーパーリオエース2,2026-05-20,2026-06-24,6,Lスマスロ スーパーリオエース2,,1.0,ほぼ一致,,
1114,Lスマスロ トロピカーナ(2024年),2024-08-21,2024-08-21,1,Lスマスロ トロピカーナ(2024年),,1.0,ほぼ一致,,
1345,Lスマスロ ドルアーガの塔,2025-09-17,2025-11-12,8,Lスマスロ ドルアーガの塔,,1.0,ほぼ一致,,
1428,Lスマスロ ハナビ(2026年),2026-02-11,2026-06-24,20,Lスマスロ ハナビ(2026年),,1.0,ほぼ一致,,
999,Lスマスロ バイオハザード:ヴィレッジ,2024-01-17,2025-09-10,10,Lスマスロ バイオハザード:ヴィレッジ,,1.0,ほぼ一致,,
921,Lスマスロ バイオハザード:ヴェンデッタ,2023-08-02,2023-10-04,10,Lスマスロ バイオハザード:ヴェンデッタ,,1.0,ほぼ一致,,
1476,Lスマスロ バイオハザードRE:3,2026-05-20,2026-06-24,6,Lスマスロ バイオハザードRE:3,,1.0,ほぼ一致,,
