machine_id,machine_name,category,report_date,maker_name,series_name,machine_type,is_smart,is_lt,latest_operation,avg_operation_4w,avg_operation_12w,avg_operation_all,max_operation,min_operation,operation_contribution_weeks,latest_sales,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_gross_profit,avg_gross_profit_4w,avg_gross_profit_12w,avg_gross_profit_all,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,market_score,asset_score,recommendation_score,overall_score,overall_grade,score_reason,ai_comment,current_operation_score,latest_operation_score,trend_score,profit_power_score,profit_stability_score,lifecycle_power_score,market_power_score,sns_power_score,active_popularity_score_v2,profit_score_v2,lifecycle_score_v2,asset_score_v2,overall_score_v2,overall_grade_v2,active_rank,profit_rank,lifecycle_rank,overall_rank,score_reason_v2,ai_comment_v2
S_963f0c5d72,モモキュンソードDX,S,2026-06-24,西陣,,スロット,False,False,4307,0.0,0.0,6983.586206896552,19758,4126,4,13129,,,19818.068965517243,2398,0.0,0.0,3094.655172413793,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4307, 平均粗利4週=nan, 稼働貢献週=4",モモキュンソードDXは直近4週平均稼働nan、最新稼働4307。人気指数nan、粗利指数nan、寿命指数nan。,0.0,3.48,50.0,4.53,3.69,1.77,50,50,16.04,3.18,15.8,14.89,12.6,D,493,232,229,486,直近4週稼働スコア0.0 / 最新稼働スコア3.5 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア1.8 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,モモキュンソードDXは、現役人気指数16.0、粗利指数3.2、寿命指数15.8、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア3.5 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア1.8 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_469f3c9f24,黄門ちゃま喝2,S,2026-06-24,オリンピア,,スロット,False,False,3770,0.0,0.0,6205.934426229508,19802,3705,7,11830,,,18166.70491803279,2517,0.0,0.0,3205.6393442622957,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=3770, 平均粗利4週=nan, 稼働貢献週=7",黄門ちゃま喝2は直近4週平均稼働nan、最新稼働3770。人気指数nan、粗利指数nan、寿命指数nan。,0.0,2.12,50.0,4.53,3.69,3.1,50,50,15.64,3.31,16.4,14.91,12.6,D,532,165,162,486,直近4週稼働スコア0.0 / 最新稼働スコア2.1 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア3.1 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,黄門ちゃま喝2は、現役人気指数15.6、粗利指数3.3、寿命指数16.4、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア2.1 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア3.1 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_ac131bd444,パチスロ KING黄門ちゃま,S,2026-06-24,オリンピア,,パチスロ,False,False,4793,0.0,0.0,8046.4,12561,4793,1,18228,,,28720.2,3821,0.0,0.0,5973.8,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4793, 平均粗利4週=nan, 稼働貢献週=1",パチスロ KING黄門ちゃまは直近4週平均稼働nan、最新稼働4793。人気指数nan、粗利指数nan、寿命指数nan。,0.0,4.71,50.0,4.53,3.69,0.44,50,50,16.41,3.05,15.2,14.85,12.59,D,462,418,417,489,直近4週稼働スコア0.0 / 最新稼働スコア4.7 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,パチスロ KING黄門ちゃまは、現役人気指数16.4、粗利指数3.0、寿命指数15.2、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア4.7 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_1ea6d75c69,パチスロ アイドルマスター ミリオンライブ!,S,2026-06-24,ビスティ,,パチスロ,False,False,4790,0.0,0.0,8203.833333333334,13840,4790,1,12845,,,20884.33333333333,3167,0.0,0.0,5199.833333333333,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4790, 平均粗利4週=nan, 稼働貢献週=1",パチスロ アイドルマスター ミリオンライブ!は直近4週平均稼働nan、最新稼働4790。人気指数nan、粗利指数nan、寿命指数nan。,0.0,4.7,50.0,4.53,3.69,0.44,50,50,16.41,3.05,15.2,14.85,12.59,D,462,418,417,489,直近4週稼働スコア0.0 / 最新稼働スコア4.7 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,パチスロ アイドルマスター ミリオンライブ!は、現役人気指数16.4、粗利指数3.0、寿命指数15.2、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア4.7 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_c751100e92,パチスロ ダンまち外伝 ソード・オラトリア,S,2026-06-24,北電子,,パチスロ,False,False,4599,0.0,0.0,8873.333333333334,16388,4599,2,11280,,,21825.5,1550,0.0,0.0,3075.5,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4599, 平均粗利4週=nan, 稼働貢献週=2",パチスロ ダンまち外伝 ソード・オラトリアは直近4週平均稼働nan、最新稼働4599。人気指数nan、粗利指数nan、寿命指数nan。,0.0,4.22,50.0,4.53,3.69,0.88,50,50,16.27,3.09,15.4,14.86,12.59,D,476,350,349,489,直近4週稼働スコア0.0 / 最新稼働スコア4.2 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,パチスロ ダンまち外伝 ソード・オラトリアは、現役人気指数16.3、粗利指数3.1、寿命指数15.4、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア4.2 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.9 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_57a0a6c330,パチスロ ゼーガペイン2,S,2026-06-24,山佐NEXT,,パチスロ,False,False,4108,0.0,0.0,8640.7,19116,4108,5,10215,,,20382.95,2038,0.0,0.0,3153.1,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4108, 平均粗利4週=nan, 稼働貢献週=5",パチスロ ゼーガペイン2は直近4週平均稼働nan、最新稼働4108。人気指数nan、粗利指数nan、寿命指数nan。,0.0,2.98,50.0,4.53,3.69,2.21,50,50,15.89,3.22,15.99,14.89,12.59,D,511,199,196,489,直近4週稼働スコア0.0 / 最新稼働スコア3.0 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア2.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,パチスロ ゼーガペイン2は、現役人気指数15.9、粗利指数3.2、寿命指数16.0、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア3.0 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア2.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_0bcc563b07,ボンバーガール,S,2026-06-24,コナミ,,スロット,False,False,4439,0.0,0.0,6696.4375,15532,3620,3,12691,,,18961.375,2411,0.0,0.0,3422.375,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4439, 平均粗利4週=nan, 稼働貢献週=3",ボンバーガールは直近4週平均稼働nan、最新稼働4439。人気指数nan、粗利指数nan、寿命指数nan。,0.0,3.81,50.0,4.53,3.69,1.33,50,50,16.14,3.14,15.6,14.87,12.59,D,487,276,275,489,直近4週稼働スコア0.0 / 最新稼働スコア3.8 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア1.3 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,ボンバーガールは、現役人気指数16.1、粗利指数3.1、寿命指数15.6、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア3.8 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア1.3 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
S_a1ea934262,パチスロ機動戦士ガンダムユニコーン,S,2026-06-24,ビスティ,,パチスロ,False,False,4064,0.0,0.0,7909.285714285715,19221,4064,5,13607,,,25636.47619047619,1909,0.0,0.0,3451.3809523809523,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4064, 平均粗利4週=nan, 稼働貢献週=5",パチスロ機動戦士ガンダムユニコーンは直近4週平均稼働nan、最新稼働4064。人気指数nan、粗利指数nan、寿命指数nan。,0.0,2.86,50.0,4.53,3.69,2.21,50,50,15.86,3.22,15.99,14.88,12.58,D,514,199,196,494,直近4週稼働スコア0.0 / 最新稼働スコア2.9 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア2.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,パチスロ機動戦士ガンダムユニコーンは、現役人気指数15.9、粗利指数3.2、寿命指数16.0、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア2.9 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア2.2 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_e2cc05d801,L エヴァンゲリオン ～未来への創造～,S,2026-06-24,ビスティ,エヴァンゲリオン,パチンコ,False,False,4735,0.0,0.0,9220.0,15015,4735,1,22023,,,42529.333333333336,2981,0.0,0.0,5969.0,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4735, 平均粗利4週=nan, 稼働貢献週=1",L エヴァンゲリオン ～未来への創造～は直近4週平均稼働nan、最新稼働4735。人気指数nan、粗利指数nan、寿命指数nan。,0.0,4.56,50.0,4.53,3.69,0.44,50,50,16.37,3.05,15.2,14.84,12.58,D,468,418,417,494,直近4週稼働スコア0.0 / 最新稼働スコア4.6 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,L エヴァンゲリオン ～未来への創造～は、現役人気指数16.4、粗利指数3.0、寿命指数15.2、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア4.6 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.4 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
P_3615b7ca95,秘宝伝～The Last～,S,2026-06-24,大都技研,,パチンコ,False,False,4912,0.0,0.0,5647.0,6382,4912,0,15648,,,17546.5,4552,0.0,0.0,4453.5,,,,,0,,,,D,"直近4週稼働=nan, 最新稼働=4912, 平均粗利4週=nan, 稼働貢献週=0",秘宝伝～The Last～は直近4週平均稼働nan、最新稼働4912。人気指数nan、粗利指数nan、寿命指数nan。,0.0,5.01,50.0,4.53,3.69,0.0,50,50,16.5,3.0,15.0,14.82,12.57,D,452,483,482,496,直近4週稼働スコア0.0 / 最新稼働スコア5.0 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価,秘宝伝～The Last～は、現役人気指数16.5、粗利指数3.0、寿命指数15.0、総合評価12.6（D）。主な根拠は、直近4週稼働スコア0.0 / 最新稼働スコア5.0 / トレンドスコア50.0 / 粗利スコア4.5 / 稼働貢献スコア0.0 / 市場データ未取得のため中立評価 / SNSデータ未取得のため中立評価。
