machine_name,category,first_report_date,data_count,avg_operation,max_operation,min_operation,avg_sales,max_sales,avg_gross_profit,max_gross_profit,latest_report_date,latest_operation,latest_sales,latest_gross_profit,operation_contribution_weeks,avg_operation_4w,avg_operation_12w,machine_id,formal_machine_name,maker_name,series_name,sub_series_name,machine_type,is_smart,is_lt,operation_score,latest_operation_score,profit_score_base,lifecycle_score_base,profit_tolerance_score,popularity_score,profit_score,lifecycle_score,overall_score,overall_grade,ai_comment
Pゴッドイーター神がかりVer.,P,2022-12-28,6,16106.666666666666,26650,8500,33678.166666666664,54897,4865.333333333333,7134,2023-02-08,8500,18169,2814,4,12262.5,16106.666666666666,P_9ef16aec8a,Pゴッドイーター神がかりVer.,サンセイR&D,ゴッド,,パチンコ,False,False,32.29,17.8,41.54,1.77,37.38,23.07,39.11,12.6,25.26,D,Pゴッドイーター神がかりVer.は平均稼働16107、平均粗利4865、稼働貢献週4週。人気指数23.1、粗利指数39.1、寿命指数12.6。
Pぱちんこ GANTZ:3 LAST BATTLE M3,P,2022-08-10,9,15493.333333333334,31910,8340,35662.0,72247,5342.444444444444,10391,2022-10-05,8340,19756,3034,7,9487.5,15493.333333333334,P_03f8b2185a,Pぱちんこ GANTZ:3 LAST BATTLE M3,オッケー．,,,パチンコ,False,False,30.82,17.41,43.56,3.1,37.83,22.62,40.22,12.04,25.25,D,Pぱちんこ GANTZ:3 LAST BATTLE M3は平均稼働15493、平均粗利5342、稼働貢献週7週。人気指数22.6、粗利指数40.2、寿命指数12.0。
P牙狼コレクション 遊タイムver.,P,2020-11-25,4,15597.5,20490,12850,14686.75,18732,3839.75,5278,2020-12-16,12850,12448,3203,4,15597.5,15597.5,P_c447d2e2d9,P牙狼コレクション 遊タイムver.,サンセイR&D,牙狼,,パチンコ,False,False,31.07,28.31,37.19,1.77,34.44,24.86,35.58,13.49,25.23,D,P牙狼コレクション 遊タイムver.は平均稼働15598、平均粗利3840、稼働貢献週4週。人気指数24.9、粗利指数35.6、寿命指数13.5。
P真・座頭市物語 DL-MX,P,2024-03-13,13,14035.384615384615,30450,7740,30603.615384615383,64287,6782.846153846154,13316,2024-06-05,7740,17453,4297,9,8117.5,12667.5,S_97fba83700,P真・座頭市物語 DL-MX,ニューギン,,,スロット,False,False,27.34,15.96,49.67,3.98,39.62,21.05,43.81,10.39,25.21,D,P真・座頭市物語 DL-MXは平均稼働14035、平均粗利6783、稼働貢献週9週。人気指数21.1、粗利指数43.8、寿命指数10.4。
P神・天才バカボン ～神 SPEC～,P,2022-03-02,3,14153.333333333334,15150,13300,29194.333333333332,31088,5119.0,5769,2022-03-16,13300,27484,4626,3,14153.333333333334,14153.333333333334,P_efce1c83c7,P神・天才バカボン ～神 SPEC～,大一商会,,,パチンコ,False,False,27.62,29.4,42.62,1.33,35.87,23.63,38.68,11.85,25.2,D,P神・天才バカボン ～神 SPEC～は平均稼働14153、平均粗利5119、稼働貢献週3週。人気指数23.6、粗利指数38.7、寿命指数11.8。
eようこそ実力至上主義の教室へ MA,P,2026-01-14,22,15370.454545454546,36650,8740,35869.454545454544,82568,4814.681818181818,10450,2026-06-10,8960,21394,3054,18,8920.0,10802.5,P_3d03eb465e,eようこそ実力至上主義の教室へ MA,サンセイR&D,,,スマパチ,True,False,30.53,18.91,41.33,7.96,36.47,23.7,38.49,11.95,25.2,D,eようこそ実力至上主義の教室へ MAは平均稼働15370、平均粗利4815、稼働貢献週18週。人気指数23.7、粗利指数38.5、寿命指数11.9。
eアクダマドライブ EHLT,P,2026-03-11,10,13759.0,26380,9420,32661.8,61390,6222.0,12442,2026-05-13,10180,24188,5257,7,9792.5,13759.0,P_1f2ae4e51e,eアクダマドライブ EHLT,三洋,,,スマパチ,True,True,26.68,21.86,47.29,3.1,38.02,21.89,41.88,11.11,25.19,D,eアクダマドライブ EHLTは平均稼働13759、平均粗利6222、稼働貢献週7週。人気指数21.9、粗利指数41.9、寿命指数11.1。
Pスーパー海物語 IN JAPAN2 金富士 はんなり199バージョン,P,2020-09-16,7,16224.285714285714,26690,11330,22230.285714285714,35926,3629.285714285714,5668,2020-10-28,11330,15718,2672,7,12400.0,16224.285714285714,P_d3ef25738f,Pスーパー海物語 IN JAPAN2 金富士 はんなり199バージョン,三洋,海物語,,甘デジ/ライト,False,False,32.57,24.64,36.3,3.1,34.62,24.9,35.32,13.52,25.18,D,Pスーパー海物語 IN JAPAN2 金富士 はんなり199バージョンは平均稼働16224、平均粗利3629、稼働貢献週7週。人気指数24.9、粗利指数35.3、寿命指数13.5。
P真・北斗無双 第3章 覚醒闘舞 GCD,P,2023-03-15,6,15666.666666666666,24930,10420,28172.333333333332,43764,4407.333333333333,6156,2023-04-19,10420,19033,2943,6,12700.0,15666.666666666666,P_999d55148e,P真・北斗無双 第3章 覚醒闘舞 GCD,サミー,北斗の拳,無双,パチンコ,False,False,31.24,22.44,39.6,2.65,35.84,23.78,37.41,13.02,25.18,D,P真・北斗無双 第3章 覚醒闘舞 GCDは平均稼働15667、平均粗利4407、稼働貢献週6週。人気指数23.8、粗利指数37.4、寿命指数13.0。
P魔王学院の不適合者 FMY,P,2024-06-12,9,15057.777777777777,28180,8760,33166.0,60721,5495.0,8565,2024-08-06,8760,19614,3682,7,9862.5,15057.777777777777,P_8bbad52a7d,P魔王学院の不適合者 FMY,藤商事,,,パチンコ,False,False,29.78,18.43,44.21,3.1,37.72,22.4,40.42,11.91,25.18,D,P魔王学院の不適合者 FMYは平均稼働15058、平均粗利5495、稼働貢献週7週。人気指数22.4、粗利指数40.4、寿命指数11.9。
P春一番～恋絵巻～ 199ver.,P,2021-01-20,8,14942.5,24970,10220,20680.375,33941,4958.75,7940,2021-03-10,10220,14561,3860,8,11380.0,14942.5,P_910acbd100,P春一番～恋絵巻～ 199ver.,西陣,,,甘デジ/ライト,False,False,29.51,21.96,41.94,3.54,36.35,23.11,38.68,12.65,25.17,D,P春一番～恋絵巻～ 199ver.は平均稼働14942、平均粗利4959、稼働貢献週8週。人気指数23.1、粗利指数38.7、寿命指数12.7。
Pデビルメイクライ4 クレイジーバトル MD,P,2021-12-15,4,14185.0,22380,9380,28596.0,44421,6058.75,8638,2022-01-05,9380,19021,4831,3,14185.0,14185.0,P_90966cf66a,Pデビルメイクライ4 クレイジーバトル MD,メーシー,,,パチンコ,False,False,27.7,19.93,46.6,1.33,38.1,21.52,41.64,11.88,25.15,D,Pデビルメイクライ4 クレイジーバトル MDは平均稼働14185、平均粗利6059、稼働貢献週3週。人気指数21.5、粗利指数41.6、寿命指数11.9。
P戦国乙女7 終焉の関ケ原 L9YY7,P,2025-01-15,22,15000.0,37750,8140,32345.81818181818,76599,5427.954545454545,12459,2025-07-09,8290,18680,3106,17,8352.5,10055.0,P_c8c52c0897,P戦国乙女7 終焉の関ケ原 L9YY7,アムテックス,戦国乙女,,パチンコ,False,False,29.65,17.29,43.93,7.52,37.5,22.92,40.18,11.04,25.13,D,P戦国乙女7 終焉の関ケ原 L9YY7は平均稼働15000、平均粗利5428、稼働貢献週17週。人気指数22.9、粗利指数40.2、寿命指数11.0。
Pルパン三世 ONE COLLECTION H1YZ4,P,2024-10-16,16,14759.375,30920,8680,33330.9375,67875,5725.8125,10728,2025-02-19,8680,19883,3908,12,9050.0,11423.333333333334,P_d1305e613c,Pルパン三世 ONE COLLECTION H1YZ4,アムテックス,ルパン三世,,パチンコ,False,False,29.07,18.24,45.19,5.31,37.94,22.5,40.96,10.78,25.11,D,Pルパン三世 ONE COLLECTION H1YZ4は平均稼働14759、平均粗利5726、稼働貢献週12週。人気指数22.5、粗利指数41.0、寿命指数10.8。
CR黄門ちゃま～神盛JUDGEMENT～ L9BZ6,P,2019-09-11,59,11301.864406779661,17200,5270,17654.28813559322,26097,3427.5423728813557,6083,2021-01-20,11880,18808,3284,48,12095.0,10810.0,P_caf9768797,CR黄門ちゃま～神盛JUDGEMENT～ L9BZ6,平和,,,パチンコ,False,False,20.82,25.97,35.44,21.24,28.86,23.0,31.6,21.06,25.1,D,CR黄門ちゃま～神盛JUDGEMENT～ L9BZ6は平均稼働11302、平均粗利3428、稼働貢献週48週。人気指数23.0、粗利指数31.6、寿命指数21.1。
P 10カウントチャージ 絶狼,P,2020-04-30,18,14743.333333333334,20630,9860,27402.444444444445,38576,4412.444444444444,6688,2020-09-16,9860,18532,2986,17,10915.0,13779.166666666666,P_5944fa2ee1,P 10カウントチャージ 絶狼,サンセイR&D,,,パチンコ,False,False,29.03,21.09,39.62,7.52,34.85,23.33,36.84,14.18,25.1,D,P 10カウントチャージ 絶狼は平均稼働14743、平均粗利4412、稼働貢献週17週。人気指数23.3、粗利指数36.8、寿命指数14.2。
Pフィーバーゴルゴ13 疾風Ver.,P,2020-11-11,18,14137.777777777777,29200,9670,28782.277777777777,57825,5205.555555555556,9765,2021-03-10,10020,20734,3921,17,10290.0,11300.833333333334,P_f4be5be20c,Pフィーバーゴルゴ13 疾風Ver.,SANKYO,,,パチンコ,False,False,27.59,21.47,42.98,7.52,36.05,22.89,38.94,12.48,25.1,D,Pフィーバーゴルゴ13 疾風Ver.は平均稼働14138、平均粗利5206、稼働貢献週17週。人気指数22.9、粗利指数38.9、寿命指数12.5。
Pあぶない刑事 129ver.,P,2022-06-15,6,15086.666666666666,22580,9490,26433.0,38204,5114.833333333333,6554,2022-07-20,9490,16845,3087,5,12730.0,15086.666666666666,P_d9b4346b51,Pあぶない刑事 129ver.,ニューギン,,,パチンコ,False,False,29.85,20.19,42.6,2.21,36.86,22.61,39.25,12.42,25.05,D,Pあぶない刑事 129ver.は平均稼働15087、平均粗利5115、稼働貢献週5週。人気指数22.6、粗利指数39.2、寿命指数12.4。
