machine_id,machine_name,active_status,latest_data_date,days_since_last_seen,weeks_since_last_seen,latest_out_per_unit,latest_sales_per_unit,latest_profit_per_unit,data_count,avg_out_4w,avg_out_12w,avg_out_26w,avg_out_52w,avg_out_all,avg_sales_4w,avg_sales_12w,avg_sales_26w,avg_sales_52w,avg_sales_all,avg_profit_4w,avg_profit_12w,avg_profit_26w,avg_profit_52w,avg_profit_all,peak_out_per_unit,peak_out_date,peak_sales_per_unit,peak_profit_per_unit,peak_ratio_out,peak_ratio_sales,peak_ratio_profit,drop_from_peak_out,drop_rate_from_peak_out,rank_latest_out,rank_latest_sales,rank_latest_profit,rank_out_4w,rank_sales_4w,rank_profit_4w,share_out_4w,share_sales_4w,share_profit_4w,score_out_market,score_sales_market,score_profit_market,market_power_score,out_rank_band,market_power_band,trend,life_stage,life_score,change_rate_4w_vs_12w,avg_out_8w,trend_rate_4w,trend_rate_12w,trend_rate_4w_vs_26w,volatility_12w,volatility_26w,trend_score,trend_strength,category,category_size,category_rank_out_4w,category_rank_sales_4w,category_rank_profit_4w,category_top_rate,category_power_score,is_new_machine,new_machine_score,new_machine_judge,operation_power_score,operation_rank,operation_comment
241,SLOTバジリスク～甲賀忍法帖～絆2,準現役,2025-09-10,287,41.0,1634.0,4987.0,1277.0,86,3951.5,4314.666666666667,4520.884615384615,5295.884615384615,6724.813953488372,10124.25,10913.333333333334,11281.0,12847.25,15809.10465116279,1831.5,1784.0833333333333,1746.5,1695.7692307692307,1948.6744186046512,23933.0,2020-02-26,46644.0,5550.0,0.06827393139180211,0.10691621644798903,0.2300900900900901,-22299.0,-0.9317260686081978,568.0,572.0,506.0,558.0,560.0,518.0,0.0007178127664615739,0.0007655749857197085,0.0008563365161715048,2.7923211169284423,2.44328097731239,9.77312390924956,4.1,圏外,D,微減,準現役,30,-0.08417027194066755,4217.0,-0.1184606804238706,-0.08058386902013696,-0.12594539870515467,0.23239862409542664,0.17387262616130472,20.0,強い下降,その他,65,54.0,58.0,38.0,0.18461538461538463,20.6,0,,対象外,15.2,D,標準運用
253,パチスロ ケロット4,準現役,2025-09-10,287,41.0,4825.0,10970.0,3132.0,81,4338.5,4265.333333333333,4218.576923076923,4048.2884615384614,4157.444444444444,9806.5,9606.166666666666,9452.76923076923,9083.461538461539,9165.802469135802,2642.5,2517.75,2442.423076923077,2330.75,2276.4814814814813,12710.0,2020-03-11,21175.0,3224.0,0.3796223446105429,0.5180637544273908,0.9714640198511166,-7885.0,-0.6203776553894571,478.0,508.0,316.0,548.0,561.0,424.0,0.0007881135486001615,0.0007415473835059705,0.0012355278427426707,4.537521815008727,2.2687609075043635,26.178010471204193,8.2,圏外,D,横ばい,準現役,30,0.017153798061894415,4274.625,0.03033901323992163,0.008611346483535828,0.028427377077578163,0.054167220937674995,0.06463176964688322,52.2,横ばい,その他,65,47.0,59.0,17.0,0.29230769230769227,31.5,0,,対象外,27.8,D,標準運用
293,サンダーVライトニング,準現役,2025-09-10,287,41.0,3591.0,7173.0,1275.0,2,6449.5,6449.5,6449.5,6449.5,6449.5,11636.0,11636.0,11636.0,11636.0,11636.0,1874.5,1874.5,1874.5,1874.5,1874.5,9308.0,2020-04-30,16099.0,2474.0,0.3857971637301246,0.44555562457295483,0.51535974130962,-5717.0,-0.6142028362698754,516.0,553.0,507.0,462.0,552.0,512.0,0.0011715888744258942,0.0008798904149773593,0.0008764416050032682,19.54624781849913,3.839441535776611,10.820244328097727,13.1,圏外,D,横ばい,準現役,30,0.0,6449.5,,,0.0,0.6267973436767954,0.6267973436767954,24.9,強い下降,その他,65,28.0,53.0,32.0,0.5846153846153845,47.9,1,13.9,厳しい,26.6,D,標準運用
307,パチスロ モンキーターンⅣ,準現役,2025-09-10,287,41.0,2216.0,7208.0,454.0,21,4014.0,5083.083333333333,7224.428571428572,7224.428571428572,7224.428571428572,12215.75,14825.416666666666,20252.190476190477,20252.190476190477,20252.190476190477,1122.5,1329.25,1913.3809523809523,1913.3809523809523,1913.3809523809523,10729.0,2020-06-03,28967.0,3081.0,0.20654301426041569,0.2488348810715642,0.14735475494969166,-8513.0,-0.7934569857395843,557.0,552.0,559.0,556.0,545.0,558.0,0.0007291662519490719,0.0009237299189377515,0.0005248363305501033,3.141361256544506,5.061082024432806,2.7923211169284423,3.6,圏外,D,下降,準現役,30,-0.21032181910585762,4230.0,-0.09716599190283401,,-0.44438512190781276,0.41871027798765176,0.4142686006943849,21.6,強い下降,その他,65,53.0,50.0,57.0,0.19999999999999996,20.2,0,,対象外,16.7,D,標準運用
337,シャア専用パチスロ 逆襲の赤い彗星,準現役,2025-12-10,196,28.0,6288.0,21267.0,4225.0,54,5965.5,5657.166666666667,5069.461538461538,5301.25,5708.666666666667,20894.75,19695.0,17649.19230769231,18736.884615384617,20082.61111111111,4514.5,3792.5833333333335,2974.230769230769,2970.923076923077,3215.4444444444443,17450.0,2020-08-12,57875.0,9748.0,0.36034383954154725,0.36746436285097195,0.43342224045958144,-11162.0,-0.6396561604584527,425.0,183.0,112.0,491.0,299.0,130.0,0.0010836674828107096,0.0015800180687820708,0.0021108005472324646,14.485165794066312,47.99301919720767,77.4869109947644,37.1,圏外,D,微増,準現役,30,0.054503137613057126,5824.0,0.04980202375714914,0.22026890997986776,0.1767521964098752,0.07229466319790805,0.16303173585080818,70.7,上昇,その他,65,31.0,9.0,5.0,0.5384615384615384,68.3,0,,対象外,47.0,D,標準運用
395,アイムジャグラーEX(2020年),現役,2026-06-24,0,0.0,7937.0,15726.0,2229.0,232,7554.0,7918.166666666667,8092.192307692308,8564.865384615385,9613.551724137931,14893.75,15507.5,15849.192307692309,16651.96153846154,18538.275862068964,2150.0,2284.0,2392.5384615384614,2383.923076923077,2503.530172413793,13477.0,2021-01-04,24730.0,4609.0,0.5889292869332937,0.6359078042862919,0.4836190062920373,-5540.0,-0.41107071306670623,321.0,404.0,427.0,407.0,498.0,491.0,0.0013722276699609588,0.0011262347772489725,0.001005254441588171,29.144851657940663,13.263525305410118,14.485165794066312,21.4,圏外,D,微減,下降期,45,-0.045991285861626256,7996.125,-0.10479068527242023,-0.021250296144456615,-0.06650760229470952,0.09822110288290616,0.08438357964339922,31.8,下降,ジャグラー,9,9.0,9.0,7.0,0.11111111111111116,14.4,0,,対象外,30.9,D,撤去・売却検討
397,パチスロひぐらしのなく頃に祭2,準現役,2025-09-10,287,41.0,6793.0,12004.0,-264.0,17,7810.75,9357.416666666666,11355.64705882353,11355.64705882353,11355.64705882353,14465.25,17208.583333333332,20708.70588235294,20708.70588235294,20708.70588235294,1226.5,1854.0,2877.4117647058824,2877.4117647058824,2877.4117647058824,20180.0,2021-01-04,36074.0,7539.0,0.3366204162537165,0.3327604368797472,-0.03501790688420215,-13387.0,-0.6633795837462835,404.0,497.0,568.0,390.0,508.0,554.0,0.0014188677883436006,0.0010938324875602653,0.0005734625919106474,32.111692844677144,11.518324607329845,3.4904013961605584,20.2,圏外,D,下降,準現役,30,-0.16528778419969894,8454.25,-0.14146354867961858,,-0.31217041534142126,0.17377156849212022,0.3374050799221548,26.1,強い下降,その他,65,15.0,32.0,54.0,0.7846153846153846,62.9,1,21.2,厳しい,31.1,D,標準運用
411,パチスロ頭文字D,準現役,2025-09-10,287,41.0,2883.0,8178.0,654.0,91,4984.75,5374.75,5567.961538461538,6311.403846153846,7314.2307692307695,12588.5,13409.5,13862.615384615385,15583.673076923076,18277.879120879123,1151.0,1054.5,1135.6153846153845,1317.0384615384614,1772.098901098901,18155.0,2021-01-20,44821.0,5600.0,0.1587992288625723,0.18245911514691773,0.11678571428571428,-15272.0,-0.8412007711374277,539.0,545.0,552.0,537.0,535.0,557.0,0.0009055085885408909,0.000951916508159375,0.0005381617964037139,6.457242582897038,6.806282722513091,2.9668411867364797,5.9,圏外,D,微減,準現役,30,-0.072561514489046,5216.375,-0.08503120411160059,-0.07627859014937767,-0.10474417512278344,0.18612969300899793,0.155618191292744,26.2,強い下降,その他,65,42.0,42.0,56.0,0.36923076923076925,33.7,0,,対象外,19.9,D,標準運用
432,パチスロ BIOHAZARD 7 resident evil,準現役,2025-09-10,287,41.0,2885.0,9681.0,1409.0,91,4794.5,4939.416666666667,6097.2307692307695,6947.807692307692,8314.263736263736,14341.0,14492.666666666666,17530.153846153848,19991.28846153846,24592.835164835164,1536.5,1324.9166666666667,1464.9615384615386,1628.3461538461538,2230.4395604395604,18015.0,2021-02-17,51708.0,5685.0,0.1601443241742992,0.18722441401717335,0.2478452066842568,-15130.0,-0.8398556758257008,538.0,526.0,500.0,542.0,512.0,540.0,0.000870948578716947,0.001084436957819724,0.0007184062555815,5.584642233856895,10.820244328097727,5.933682373472948,7.2,圏外,D,横ばい,準現役,30,-0.02933882206063475,4693.75,0.04387110820814283,-0.2965380552819283,-0.21365941663302385,0.17121985452351762,0.2167286531842063,24.7,強い下降,その他,65,44.0,34.0,47.0,0.3384615384615385,37.0,0,,対象外,20.6,D,標準運用
442,PAわんわんパラダイスV GBA,準現役,2024-10-30,602,86.0,9480.0,14513.0,2773.0,183,9760.0,10685.833333333334,10902.307692307691,10915.576923076924,12482.896174863388,14815.75,15982.416666666666,16341.384615384615,16237.711538461539,18007.96174863388,2610.25,2780.0,2884.8076923076924,2772.076923076923,2948.530054644809,29660.0,2021-03-17,38396.0,5392.0,0.3196223870532704,0.37798208146681944,0.514280415430267,-20180.0,-0.6803776129467296,160.0,439.0,371.0,222.0,501.0,429.0,0.0017729602937276885,0.001120336577492335,0.0012204490261188482,61.43106457242583,12.739965095986038,25.30541012216405,39.6,圏外,D,微減,準現役,30,-0.08664119160882794,10307.5,-0.10087517273146016,-0.020920821562189704,-0.10477668806886327,0.09581765504846275,0.07646624033053766,32.4,下降,パチンコ,176,98.0,157.0,166.0,0.44886363636363635,30.7,0,,対象外,34.1,D,標準運用
