machine_id,machine_name,category,category_size,category_rank_out_4w,category_rank_sales_4w,category_rank_profit_4w,category_top_rate,category_power_score
1261,Pフィーバーうたわれるもの 199ver.,パチンコ,176,125.0,74.0,76.0,0.2954545454545454,41.0
1262,P少女☆歌劇 レヴュースタァライト ラッキートリガー4500,パチンコ,176,115.0,78.0,71.0,0.3522727272727273,44.2
1263,e シン・ウルトラマン K3,スマパチ,91,32.0,27.0,19.0,0.6593406593406593,69.5
1264,eフィーバーうたわれるもの Z,スマパチ,91,18.0,20.0,20.0,0.8131868131868132,80.4
1265,e牙狼 神速神撃3000LT,スマパチ,91,79.0,69.0,82.0,0.1428571428571429,16.5
1266,Lスマスロ アイドルマスター ミリオンライブ! ネクストプロローグ,スマスロ,155,57.0,62.0,26.0,0.6387096774193548,66.1
1267,L吉宗(2025年),スマスロ,155,70.0,37.0,50.0,0.5548387096774193,62.7
1268,L麻雀物語(2025年),スマスロ,155,99.0,86.0,88.0,0.367741935483871,39.9
1269,Pゾンビランドサガ SCPC,パチンコ,176,114.0,89.0,49.0,0.3579545454545454,44.9
1270,P痛いのは嫌なので防御力に極振りしたいと思います。 FHZ,パチンコ,176,153.0,96.0,97.0,0.13636363636363635,26.5
1271,e 東京喰種 W,東京喰種,3,2.0,2.0,2.0,0.6666666666666667,66.7
1272,Lスマスロ ようこそ実力至上主義の教室へ,スマスロ,155,45.0,49.0,20.0,0.7161290322580645,73.4
1273,Lスマスロ 緑ドン VIVA!情熱南米編 REVIVAL,スマスロ,155,68.0,66.0,98.0,0.567741935483871,54.2
1274,Lパチスロ 機動戦士ガンダムSEED,スマスロ,155,79.0,34.0,38.0,0.49677419354838714,60.9
1275,P ToLOVEるダークネス 100ver.,パチンコ,176,28.0,44.0,73.0,0.8465909090909091,78.6
1276,P 宇宙戦艦ヤマト2202 超波動 森雪 199LT ver.,パチンコ,176,27.0,21.0,10.0,0.8522727272727273,87.5
1277,P 織田信奈の野望 下剋上 V1D,パチンコ,176,93.0,65.0,82.0,0.4772727272727273,52.6
1278,PLT世界でいちばん強くなりたい!2 MQ,パチンコ,176,41.0,22.0,15.0,0.7727272727272727,82.2
1279,Pフィーバー機動戦士ガンダムユニコーン再来 129ver.,パチンコ,176,3.0,4.0,6.0,0.9886363636363636,98.5
1280,P乗物娘 with CYBER JAPAN DANCERS 2nd season LM3,パチンコ,176,46.0,55.0,40.0,0.7443181818181819,73.7
1281,P攻殻機動隊SAC_2045 大入りLTver,パチンコ,176,83.0,93.0,94.0,0.5340909090909092,51.1
1282,P海物語 極JAPAN HTH,海,17,17.0,13.0,8.0,0.05882352941176472,19.7
1283,e 仮面ライダーBLACK KRJ2,スマパチ,91,51.0,58.0,45.0,0.4505494505494505,44.1
1284,デジハネP北斗の拳 慈母 SSPC,北斗,14,10.0,13.0,9.0,0.3571428571428571,31.4
1285,P【超甘LT】江頭2:50inナナシー 奇跡の99%,パチンコ,176,5.0,26.0,50.0,0.9772727272727273,90.9
1286,L ToLOVEるダークネス TRANCE ver.8.7,スマスロ,155,60.0,14.0,126.0,0.6193548387096774,63.0
1287,L花笠,スマスロ,155,64.0,38.0,25.0,0.5935483870967742,67.3
1288,Pフィーバー機動戦士ガンダムユニコーン 再来 129ver.,パチンコ,176,89.0,72.0,81.0,0.5,53.1
1289,L ULTRAMAN,スマスロ,155,63.0,59.0,78.0,0.6,59.2
1290,L スマスロ デビル メイ クライ 5 スタイリッシュトライブ,スマスロ,155,136.0,109.0,49.0,0.12903225806451613,25.7
1291,LBスマスロニューパルサーBT,スマスロ,155,71.0,132.0,97.0,0.5483870967741935,42.5
1292,LBパチスロ1000ちゃんA,スマスロ,155,39.0,126.0,134.0,0.7548387096774194,52.3
1293,LBプレミアムうまい棒,スマスロ,155,85.0,139.0,61.0,0.4580645161290322,39.4
1294,LB翔べ!ハーレムエース,スマスロ,155,89.0,147.0,102.0,0.432258064516129,32.6
1295,Lいざ!番長,スマスロ,155,55.0,55.0,74.0,0.6516129032258065,63.3
1296,Lスマスロ ギルティクラウン2,スマスロ,155,103.0,117.0,71.0,0.3419354838709677,35.0
1297,P DD北斗の拳3 百突99ver.,北斗,14,4.0,12.0,6.0,0.7857142857142857,62.1
1298,PA海物語3R3 LBA(クリスタルシェル),海,17,5.0,9.0,6.0,0.7647058823529411,69.7
1299,PLT激デジ ジューシーハニー極嬢 77LT-ARB,パチンコ,176,146.0,136.0,155.0,0.17613636363636365,18.3
1300,Pフィーバーマクロスフロンティア5 LT-Light ver.,パチンコ,176,72.0,87.0,84.0,0.5965909090909092,56.5
1301,P緋弾のアリア ～緋緋神降臨～ 88Ver.,パチンコ,176,144.0,142.0,96.0,0.1875,23.1
1302,e 新・必殺仕置人S 超斬撃99,スマパチ,91,42.0,57.0,61.0,0.5494505494505495,47.7
1303,eフィーバー彼女、お借りします H,スマパチ,91,66.0,65.0,80.0,0.2857142857142857,26.5
1304,e冴えない彼女の育てかた LX04,スマパチ,91,40.0,43.0,51.0,0.5714285714285714,54.5
1305,e範馬刃牙 XAM2,スマパチ,91,37.0,37.0,32.0,0.6043956043956045,61.3
1306,デジハネPモンスターハンターライズ GSPB,その他,65,6.0,11.0,2.0,0.9230769230769231,91.3
1307,L 絶対衝激～PLATONIC HEART～,スマスロ,155,117.0,149.0,35.0,0.25161290322580643,27.9
1308,デカスタP戦国無双 HM3,その他,65,5.0,7.0,4.0,0.9384615384615385,93.3
1309,LBアレックス ブライト,スマスロ,155,53.0,131.0,146.0,0.6645161290322581,44.9
1310,LBパチスロ ヱヴァンゲリヲン ～約束の扉～,スマスロ,155,66.0,150.0,139.0,0.5806451612903225,37.5
1311,Lわたしの幸せな結婚,スマスロ,155,59.0,65.0,144.0,0.6258064516129032,53.4
1312,PA CYBORG009 RULE OF SACRIFICE LT99Ver,パチンコ,176,126.0,134.0,118.0,0.2897727272727273,28.5
1313,PAフィーバー機動戦士ガンダムユニコーン 再来 99ver.,パチンコ,176,32.0,50.0,58.0,0.8238636363636364,77.6
1314,Pドラムだ!金ドン 花火外伝 99ver.,パチンコ,176,40.0,45.0,21.0,0.7784090909090909,78.8
1315,e 犬夜叉3.0 LTM-TS,スマパチ,91,17.0,17.0,22.0,0.8241758241758241,81.6
1316,eフィーバー炎炎ノ消防隊2 シンラver.,スマパチ,91,74.0,70.0,77.0,0.19780219780219777,20.4
1317,eフィーバー炎炎ノ消防隊2 紅丸ver.,スマパチ,91,73.0,71.0,88.0,0.20879120879120883,19.0
1318,e一方通行 とある魔術の禁書目録 JKZ,スマパチ,91,80.0,82.0,83.0,0.13186813186813184,12.1
1319,e冒険島 EHLC2,スマパチ,91,15.0,14.0,26.0,0.8461538461538461,83.1
1320,e東京リベンジャーズ GFEC,スマパチ,91,60.0,56.0,72.0,0.3516483516483516,34.3
