machine_id,machine_name,avg_out_4w,avg_out_12w,avg_out_26w,avg_out_52w,avg_out_all,avg_sales_4w,avg_sales_12w,avg_sales_26w,avg_sales_52w,avg_sales_all,avg_profit_4w,avg_profit_12w,avg_profit_26w,avg_profit_52w,avg_profit_all
241,SLOTバジリスク～甲賀忍法帖～絆2,3951.5,4314.666666666667,4520.884615384615,5295.884615384615,6724.813953488372,10124.25,10913.333333333334,11281.0,12847.25,15809.10465116279,1831.5,1784.0833333333333,1746.5,1695.7692307692307,1948.6744186046512
253,パチスロ ケロット4,4338.5,4265.333333333333,4218.576923076923,4048.2884615384614,4157.444444444444,9806.5,9606.166666666666,9452.76923076923,9083.461538461539,9165.802469135802,2642.5,2517.75,2442.423076923077,2330.75,2276.4814814814813
293,サンダーVライトニング,6449.5,6449.5,6449.5,6449.5,6449.5,11636.0,11636.0,11636.0,11636.0,11636.0,1874.5,1874.5,1874.5,1874.5,1874.5
307,パチスロ モンキーターンⅣ,4014.0,5083.083333333333,7224.428571428572,7224.428571428572,7224.428571428572,12215.75,14825.416666666666,20252.190476190477,20252.190476190477,20252.190476190477,1122.5,1329.25,1913.3809523809523,1913.3809523809523,1913.3809523809523
337,シャア専用パチスロ 逆襲の赤い彗星,5965.5,5657.166666666667,5069.461538461538,5301.25,5708.666666666667,20894.75,19695.0,17649.19230769231,18736.884615384617,20082.61111111111,4514.5,3792.5833333333335,2974.230769230769,2970.923076923077,3215.4444444444443
395,アイムジャグラーEX(2020年),7554.0,7918.166666666667,8092.192307692308,8564.865384615385,9613.551724137931,14893.75,15507.5,15849.192307692309,16651.96153846154,18538.275862068964,2150.0,2284.0,2392.5384615384614,2383.923076923077,2503.530172413793
397,パチスロひぐらしのなく頃に祭2,7810.75,9357.416666666666,11355.64705882353,11355.64705882353,11355.64705882353,14465.25,17208.583333333332,20708.70588235294,20708.70588235294,20708.70588235294,1226.5,1854.0,2877.4117647058824,2877.4117647058824,2877.4117647058824
411,パチスロ頭文字D,4984.75,5374.75,5567.961538461538,6311.403846153846,7314.2307692307695,12588.5,13409.5,13862.615384615385,15583.673076923076,18277.879120879123,1151.0,1054.5,1135.6153846153845,1317.0384615384614,1772.098901098901
432,パチスロ BIOHAZARD 7 resident evil,4794.5,4939.416666666667,6097.2307692307695,6947.807692307692,8314.263736263736,14341.0,14492.666666666666,17530.153846153848,19991.28846153846,24592.835164835164,1536.5,1324.9166666666667,1464.9615384615386,1628.3461538461538,2230.4395604395604
442,PAわんわんパラダイスV GBA,9760.0,10685.833333333334,10902.307692307691,10915.576923076924,12482.896174863388,14815.75,15982.416666666666,16341.384615384615,16237.711538461539,18007.96174863388,2610.25,2780.0,2884.8076923076924,2772.076923076923,2948.530054644809
453,パチスロ北斗の拳 宿命,3540.75,5947.833333333333,7969.222222222223,7969.222222222223,7969.222222222223,11422.0,18634.5,24523.944444444445,24523.944444444445,24523.944444444445,1569.5,2243.5,2733.722222222222,2733.722222222222,2733.722222222222
469,ニューパルサーSPⅢ,3746.75,3950.75,4055.5384615384614,4035.2115384615386,4379.808219178082,8654.5,8959.75,9189.807692307691,9141.903846153846,9734.191780821919,2134.5,2138.25,2180.5,2141.6153846153848,2174.301369863014
492,P大海物語4 スペシャル BLACK SCA,11582.5,11724.166666666666,11536.538461538461,12114.423076923076,13929.714285714286,16792.25,16993.666666666668,16766.846153846152,17503.403846153848,19771.10714285714,2284.5,2359.4166666666665,2370.923076923077,2377.1153846153848,2390.9785714285713
503,チバリヨ-30(2021年),4251.0,4373.5,4718.923076923077,5487.307692307692,8003.472727272727,14106.5,14675.583333333334,15946.423076923076,18471.326923076922,25995.909090909092,1827.0,1798.1666666666667,1905.423076923077,2121.173076923077,2585.7909090909093
511,P NEW TOKIO ハカマタイプ,15182.5,15146.666666666666,14844.23076923077,14938.26923076923,15608.315217391304,9451.5,9437.333333333334,9331.884615384615,9403.903846153846,9867.391304347826,834.75,904.8333333333334,1070.7692307692307,1063.7692307692307,1219.429347826087
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,6655.5,10751.375,10751.375,10751.375,10751.375,16662.75,25589.75,25589.75,25589.75,25589.75,2049.5,2955.625,2955.625,2955.625,2955.625
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,9792.5,9369.166666666666,9675.76923076923,9918.846153846154,11779.166666666666,13805.5,13250.583333333334,13622.73076923077,13861.538461538461,15489.14880952381,2846.75,2777.5833333333335,2710.8846153846152,2747.2884615384614,2994.8273809523807
567,ファンキージャグラー2,8940.75,9171.416666666666,9182.23076923077,8959.076923076924,9696.10480349345,17156.0,17481.916666666668,17507.884615384617,17159.80769230769,18444.01310043668,2449.0,2595.5,2671.923076923077,2651.153846153846,2805.8646288209607
569,Pうまい棒 4500～10500,7897.5,7810.0,7449.2307692307695,7388.076923076923,11958.264462809917,17930.25,17206.083333333332,16298.76923076923,16019.365384615385,24178.586776859505,5832.0,5489.833333333333,5154.0,5021.384615384615,6617.768595041322
576,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,7345.0,7945.833333333333,8233.076923076924,8847.692307692309,10532.198581560284,14619.25,15639.583333333334,16163.115384615385,17258.173076923078,20155.81560283688,3551.5,3741.0833333333335,3831.8846153846152,3982.75,4480.234042553191
599,P野生の王国GO 99ver.,8312.5,8736.666666666666,9048.461538461539,9195.0,10673.157894736842,12472.25,12960.0,13267.5,13379.865384615385,14960.059210526315,2680.5,2683.9166666666665,2727.846153846154,2767.6346153846152,2994.1973684210525
604,パチスロうまい棒(2021年),3309.75,4019.9166666666665,4817.357142857143,4817.357142857143,4817.357142857143,7619.5,9174.0,10683.357142857143,10683.357142857143,10683.357142857143,1645.25,1905.6666666666667,1904.7142857142858,1904.7142857142858,1904.7142857142858
605,マイジャグラーⅤ,13567.75,13810.083333333334,13837.76923076923,13508.884615384615,13527.885462555067,23563.25,23924.25,24028.423076923078,23609.26923076923,23758.149779735682,2548.75,2761.0,2908.5384615384614,2936.3076923076924,3111.9162995594716
611,パチスロ 戦姫絶唱シンフォギア 勇気の歌,3876.75,4149.0,4534.692307692308,5400.865384615385,5958.013333333333,12256.25,12928.583333333334,13871.73076923077,16226.384615384615,17958.466666666667,1703.75,1758.4166666666667,1837.0384615384614,2119.8076923076924,2445.76
612,沖ドキ!DUO,3968.0,3924.0,4116.423076923077,4835.423076923077,6800.980582524272,16022.0,15748.0,16371.5,18689.865384615383,24442.825242718445,3047.0,2792.1666666666665,2744.9615384615386,2898.1923076923076,3317.7281553398057
