machine_id,machine_name,latest_out_per_unit,avg_out_4w,avg_out_8w,avg_out_12w,avg_out_26w,trend_rate_4w,trend_rate_12w,trend_rate_4w_vs_26w,volatility_12w,volatility_26w,trend_score,trend_strength
1445,P Re:ゼロから始める異世界生活 season2 249ver.,7650.0,9092.5,9851.25,12526.666666666666,12526.666666666666,-0.14302544769085768,,-0.2741484832357637,0.3688906847627142,0.3688906847627142,18.1,強い下降
1446,P戦国乙女7 終焉の関ケ原 99ver.,8900.0,8737.5,9328.75,9849.166666666666,11763.125,-0.11920362903225806,,-0.25721268795494395,0.13890723728188997,0.355617151401225,30.1,下降
1447,P痛いのは嫌なので防御力に極振りしたいと思います。 極振り129ver,7790.0,8907.5,9446.25,11690.0,11690.0,-0.10791186780170256,,-0.23802395209580837,0.3474767781093249,0.3474767781093249,23.2,強い下降
1448,e 甲鉄城のカバネリ2 咲かせや燦然 GFEA,10540.0,10352.5,13335.0,16242.0,16242.0,-0.3655584495173893,,-0.36260928457086566,0.4464838244701066,0.4464838244701066,0.0,強い下降
1449,e 魔法少女まどか☆マギカ3 時間遡行～始まりの願い～ LPM1,7920.0,8935.0,11057.5,13523.333333333334,16994.0,-0.3220789074355083,,-0.47422619748146405,0.3473174289322336,0.5030008389098173,0.0,強い下降
1450,eアクダマドライブ EHLT,10180.0,9792.5,11517.5,13759.0,13759.0,-0.26052482537285254,,-0.28828403226978705,0.4004878590981085,0.4004878590981085,2.7,強い下降
1451,eフィーバーダンベル何キロ持てる？2 F,7670.0,8705.0,10128.75,12340.0,13306.923076923076,-0.24648344514174422,,-0.345829238684317,0.32137943000635694,0.38737264019237283,7.6,強い下降
1452,eワンパンマン2～正義執行 LM10,8100.0,9067.5,10801.25,12225.833333333334,14188.57142857143,-0.27662544874351813,,-0.3609293193717278,0.2559266308105613,0.41703512757918115,6.6,強い下降
1453,e牙狼11～冴島大河～ 魔戒BURST Ver.,8080.0,9765.0,13467.142857142857,13467.142857142857,13467.142857142857,,,-0.2749018775856582,0.4296572735820475,0.4296572735820475,32.8,下降
1454,P モモキュンソード 速撃99ver.,9740.0,9947.5,13011.25,13011.25,13011.25,-0.3811819595645412,,-0.23546930540878086,0.33435153989151123,0.33435153989151123,0.0,強い下降
1455,Pえとたま2 神祭 干支甘,8910.0,13570.0,13570.0,13570.0,13570.0,,,0.0,0.35540620639019876,0.35540620639019876,35.8,下降
1456,e スマパチ SSSS.GRIDMAN メガSTART 159ver.,6540.0,8787.5,12920.0,12920.0,12920.0,-0.48467966573816157,,-0.31985294117647056,0.46598449487773125,0.46598449487773125,0.0,強い下降
1457,e 乃木坂46 Ⅱ SWEET Version,9060.0,9632.5,13770.0,13770.0,13770.0,,,-0.3004720406681191,0.4414099635845697,0.4414099635845697,32.3,下降
1458,LB A-SLOT+ 異世界かるてっと BT,7562.0,8333.0,9786.5,11363.727272727272,11363.727272727272,-0.25862989323843416,,-0.2667018663850689,0.29911304290999247,0.29911304290999247,7.0,強い下降
1459,Lアクダマドライブ,5037.0,5900.25,8023.25,9788.6,9788.6,-0.41847973389183196,,-0.3972324949430971,0.46260989008261766,0.46260989008261766,0.0,強い下降
1460,Lスマスロヨルムンガンド,6131.0,9803.5,12419.0,12419.0,12419.0,,,-0.21060471857637492,0.3799765638357226,0.3799765638357226,34.8,下降
1461,L真打 吉宗,12161.0,13151.5,14153.5,15577.363636363636,15577.363636363636,-0.13222922371416318,,-0.15573005118149294,0.19454138888384687,0.19454138888384687,26.4,強い下降
1462,L虚構推理,8049.0,9110.0,11138.875,13232.0,13232.0,-0.30815818951605245,,-0.3115175332527207,0.3416341029284736,0.3416341029284736,0.0,強い下降
1463,P にゃんこ大戦争 多様性のネコ 神さまにおまかせ88ver.,9440.0,10670.0,13113.75,15173.0,15173.0,-0.31415715892656276,,-0.2967771699729783,0.34765104246065265,0.34765104246065265,0.0,強い下降
1464,P ウルトラマンメビウス デカヘソ319,10120.0,12995.0,15182.0,15182.0,15182.0,,,-0.1440521670399157,0.3826116248676081,0.3826116248676081,34.7,下降
1465,e 終末のワルキューレ EREA,10750.0,13282.5,15584.0,15584.0,15584.0,,,-0.14768352156057496,0.38502834060931945,0.38502834060931945,34.6,下降
1466,eラグナドール 妖しき皇帝と終焉の夜叉姫 CMB,11820.0,14107.5,16266.0,16266.0,16266.0,,,-0.13270011066027296,0.3393407957745965,0.3393407957745965,36.4,下降
1467,eリコリス・リコイル M3,22580.0,25060.0,28278.75,31422.727272727272,31422.727272727272,-0.20438130010318278,,-0.202488065962679,0.22314912857059452,0.22314912857059452,16.5,強い下降
1468,e転生したらスライムだった件2 MF,9790.0,11152.5,14167.5,18805.454545454544,18805.454545454544,-0.3509384548232213,,-0.406953978536208,0.5049839305393747,0.5049839305393747,0.0,強い下降
1469,Lアニマルスロットドッチ,8503.0,9858.5,11535.25,11999.222222222223,11999.222222222223,-0.25382228277323643,,-0.17840508181085815,0.2395781352064491,0.2395781352064491,10.0,強い下降
1470,Lスマスロ ミリオンゴッド-神々の軌跡-,13303.0,14473.25,17521.5,18444.777777777777,18444.777777777777,-0.2963818228223484,,-0.21531990385715918,0.2632580715191131,0.2632580715191131,3.9,強い下降
1471,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,5856.0,12124.75,12124.75,12124.75,12124.75,,,0.0,0.4195750697740408,0.4195750697740408,33.2,下降
1472,e86-エイティシックス- MAM2,11370.0,13727.5,18517.5,20324.444444444445,20324.444444444445,-0.41102649361793414,,-0.3245817843866171,0.4319278264806579,0.4319278264806579,0.0,強い下降
1473,eフィーバーキン肉マン,13250.0,15782.5,21656.25,23655.555555555555,23655.555555555555,-0.42671630948056666,,-0.33282057303898543,0.4246952142621847,0.4246952142621847,0.0,強い下降
1474,eリング 最恐領域 RHA,9940.0,11820.0,16551.25,18321.11111111111,18321.11111111111,-0.44461411958181607,,-0.35484262235429676,0.458103085546435,0.458103085546435,0.0,強い下降
1475,Lスマスロ スーパーリオエース2,8993.0,11815.75,13987.666666666666,13987.666666666666,13987.666666666666,,,-0.15527369349188566,0.2912765512294055,0.2912765512294055,38.3,下降
1476,Lスマスロ バイオハザードRE:3,6817.0,9300.5,11873.0,11873.0,11873.0,,,-0.21666807041185884,0.3888823504822204,0.3888823504822204,34.4,下降
1477,Lスマスロ ビッグドリーム THE GOLDEN PUSHER,6330.0,8903.75,11269.833333333334,11269.833333333334,11269.833333333334,,,-0.2099483872875967,0.38261559034828996,0.38261559034828996,34.7,下降
1478,Lタクトオーパス デスティニー,8652.0,11631.0,13702.666666666666,13702.666666666666,13702.666666666666,,,-0.1511871168628977,0.2960693791502272,0.2960693791502272,38.2,下降
1479,Pクイーンズブレイド奈落 ナナエル79Ver.,9750.0,12920.0,12920.0,12920.0,12920.0,,,0.0,0.25291562801627704,0.25291562801627704,39.9,下降
1480,PフィーバークィーンⅡ YS,10760.0,12537.5,15060.0,15060.0,15060.0,,,-0.16749667994687914,0.300932955420661,0.300932955420661,38.0,下降
1481,e バイオハザード6 APN,11280.0,15457.5,19240.0,19240.0,19240.0,,,-0.1965956340956341,0.36182536117342307,0.36182536117342307,35.5,下降
1482,eひきこまり吸血姫の悶々 FHV,18550.0,22887.5,25523.333333333332,25523.333333333332,25523.333333333332,,,-0.10327151625963167,0.21321617012179536,0.21321617012179536,41.5,下降
1483,eまわるん超ワープ ギンギラパラダイス VIVA FESTA HTA2,10770.0,15640.0,15640.0,15640.0,15640.0,,,0.0,0.3179736368487335,0.3179736368487335,37.3,下降
1484,eカケグルイ 7500ver,11060.0,15960.0,19876.666666666668,19876.666666666668,19876.666666666668,,,-0.19704846553748118,0.3748433671893738,0.3748433671893738,35.0,下降
1485,eライザのアトリエ 常闇の女王と秘密の隠れ家 K3,10250.0,16745.0,16745.0,16745.0,16745.0,,,0.0,0.4029293047327528,0.4029293047327528,33.9,下降
1486,eルパン三世VSキャッツ・アイ 157ver. 極限突破ブッた斬り7500,8710.0,13237.5,15088.0,15088.0,15088.0,,,-0.12264713679745493,0.3345371427036152,0.3345371427036152,36.6,下降
1487,デカスタP戦国無双 100ver.,9410.0,11390.0,13656.666666666666,13656.666666666666,13656.666666666666,,,-0.1659751037344398,0.30554835686358267,0.30554835686358267,37.8,下降
1488,LBスロットGALFY,8492.0,11698.75,11698.75,11698.75,11698.75,,,0.0,0.2920196064216034,0.2920196064216034,38.3,下降
1489,P 犬夜叉3.0 大入り 甘SPEC,12000.0,18277.5,18277.5,18277.5,18277.5,,,0.0,0.3793433081530965,0.3793433081530965,34.8,下降
1490,Lスマスロ BIRDIE WING -Golf Girls’ Story-,10339.0,12381.5,12381.5,12381.5,12381.5,,,0.0,0.23329412439099032,0.23329412439099032,40.7,下降
1491,Lスロット ソードアート・オンラインⅡ,22792.0,23476.0,23476.0,23476.0,23476.0,,,0.0,0.041204722979349,0.041204722979349,48.4,横ばい
1492,L戦国乙女5 業火を穿つ宿焔の双刃,23223.0,24078.0,24078.0,24078.0,24078.0,,,0.0,0.050218149174723656,0.050218149174723656,48.0,横ばい
1493,P 魔法少女まどか☆マギカ3 キュゥべえver.,20180.0,22330.0,22330.0,22330.0,22330.0,,,0.0,0.13616476305876196,0.13616476305876196,44.6,下降
1494,PAスーパー海物語IN沖縄6 Withえなこ RBD,17930.0,20390.0,20390.0,20390.0,20390.0,,,0.0,0.17062115563696978,0.17062115563696978,43.2,下降
1495,PA花の慶次～傾奇一転 87ver.,16570.0,18475.0,18475.0,18475.0,18475.0,,,0.0,0.14582283281844363,0.14582283281844363,44.2,下降
1496,e 化物語 鬼99ver.,16140.0,18115.0,18115.0,18115.0,18115.0,,,0.0,0.15418558022008627,0.15418558022008627,43.8,下降
1497,e 学園黙示録ハイスクール・オブ・ザ・デッド3 V1A,14230.0,17320.0,17320.0,17320.0,17320.0,,,0.0,0.2523048445573247,0.2523048445573247,39.9,下降
1498,e 東京喰種 超デカ 超一撃 ver.,41270.0,42600.0,42600.0,42600.0,42600.0,,,0.0,0.04415267694732902,0.04415267694732902,48.2,横ばい
1499,eソードアート・オンライン オルタナティブ ガンゲイル・オンライン M08,23470.0,26810.0,26810.0,26810.0,26810.0,,,0.0,0.17618326364513753,0.17618326364513753,43.0,下降
1500,eフィーバー デッドマウント・デスプレイ 魂神9000,18650.0,20905.0,20905.0,20905.0,20905.0,,,0.0,0.15254970500604303,0.15254970500604303,43.9,下降
1501,e冥妃転生 CMP,15810.0,18045.0,18045.0,18045.0,18045.0,,,0.0,0.17516028328644317,0.17516028328644317,43.0,下降
1502,遊moreLT PエガブレイブVVV AX4,15340.0,18550.0,18550.0,18550.0,18550.0,,,0.0,0.24472374852925255,0.24472374852925255,40.2,下降
