machine_id,machine_name,rank_latest_out,rank_latest_sales,rank_latest_profit,rank_out_4w,rank_sales_4w,rank_profit_4w,share_out_4w,share_sales_4w,share_profit_4w,score_out_market,score_sales_market,score_profit_market,market_power_score,out_rank_band,market_power_band
241,SLOTバジリスク～甲賀忍法帖～絆2,568.0,572.0,506.0,558.0,560.0,518.0,0.0007178127664615739,0.0007655749857197085,0.0008563365161715048,2.7923211169284423,2.44328097731239,9.77312390924956,4.1,圏外,D
253,パチスロ ケロット4,478.0,508.0,316.0,548.0,561.0,424.0,0.0007881135486001615,0.0007415473835059705,0.0012355278427426707,4.537521815008727,2.2687609075043635,26.178010471204193,8.2,圏外,D
293,サンダーVライトニング,516.0,553.0,507.0,462.0,552.0,512.0,0.0011715888744258942,0.0008798904149773593,0.0008764416050032682,19.54624781849913,3.839441535776611,10.820244328097727,13.1,圏外,D
307,パチスロ モンキーターンⅣ,557.0,552.0,559.0,556.0,545.0,558.0,0.0007291662519490719,0.0009237299189377515,0.0005248363305501033,3.141361256544506,5.061082024432806,2.7923211169284423,3.6,圏外,D
337,シャア専用パチスロ 逆襲の赤い彗星,425.0,183.0,112.0,491.0,299.0,130.0,0.0010836674828107096,0.0015800180687820708,0.0021108005472324646,14.485165794066312,47.99301919720767,77.4869109947644,37.1,圏外,D
395,アイムジャグラーEX(2020年),321.0,404.0,427.0,407.0,498.0,491.0,0.0013722276699609588,0.0011262347772489725,0.001005254441588171,29.144851657940663,13.263525305410118,14.485165794066312,21.4,圏外,D
397,パチスロひぐらしのなく頃に祭2,404.0,497.0,568.0,390.0,508.0,554.0,0.0014188677883436006,0.0010938324875602653,0.0005734625919106474,32.111692844677144,11.518324607329845,3.4904013961605584,20.2,圏外,D
411,パチスロ頭文字D,539.0,545.0,552.0,537.0,535.0,557.0,0.0009055085885408909,0.000951916508159375,0.0005381617964037139,6.457242582897038,6.806282722513091,2.9668411867364797,5.9,圏外,D
432,パチスロ BIOHAZARD 7 resident evil,538.0,526.0,500.0,542.0,512.0,540.0,0.000870948578716947,0.001084436957819724,0.0007184062555815,5.584642233856895,10.820244328097727,5.933682373472948,7.2,圏外,D
442,PAわんわんパラダイスV GBA,160.0,439.0,371.0,222.0,501.0,429.0,0.0017729602937276885,0.001120336577492335,0.0012204490261188482,61.43106457242583,12.739965095986038,25.30541012216405,39.6,圏外,D
453,パチスロ北斗の拳 宿命,563.0,566.0,552.0,568.0,555.0,538.0,0.0006431976598377369,0.000863708174619405,0.0007338357423593649,1.0471204188481686,3.315881326352532,6.282722513089,2.8,圏外,D
469,ニューパルサーSPⅢ,531.0,549.0,458.0,562.0,564.0,494.0,0.0006806187480045304,0.0006544355101771705,0.0009980072584046284,2.0942408376963373,1.7452006980802848,13.961605584642234,4.4,圏外,D
492,P大海物語4 スペシャル BLACK SCA,52.0,368.0,411.0,120.0,442.0,478.0,0.00210402793054313,0.0012697954469666174,0.0010681412892131056,79.23211169284468,23.03664921465969,16.753926701570677,49.9,圏外,D
503,チバリヨ-30(2021年),526.0,518.0,537.0,552.0,515.0,519.0,0.0007722186689176643,0.0010667045495770125,0.0008542324952472506,3.839441535776611,10.29668411867365,9.598603839441534,6.9,圏外,D
511,P NEW TOKIO ハカマタイプ,24.0,527.0,550.0,46.0,562.0,565.0,0.002757988694623015,0.0007147030128187101,0.0003902958814491748,92.14659685863874,2.0942408376963373,1.5706806282722474,47.0,TOP50,D
533,SLOT劇場版魔法少女まどか☆マギカ[前編]始まりの物語／[後編]永遠の物語,565.0,569.0,486.0,447.0,446.0,500.0,0.0012090099625926875,0.0012600029230116871,0.0009582646409464914,22.164048865619545,22.33856893542757,12.914485165794066,20.4,圏外,D
554,PA乗物娘 WITH CYBERJAPAN(R) DANCERS 77ver.,97.0,423.0,255.0,217.0,521.0,396.0,0.0017788641061811873,0.0010439435479520395,0.001331027014693547,62.30366492146597,9.24956369982548,31.064572425828974,40.1,圏外,D
567,ファンキージャグラー2,182.0,322.0,386.0,288.0,430.0,453.0,0.0016241388059575646,0.0012973014746778596,0.0011450549429997353,49.91273996509599,25.130890052356026,21.116928446771375,36.7,圏外,D
569,Pうまい棒 4500～10500,395.0,392.0,50.0,385.0,403.0,54.0,0.0014346264262002479,0.0013558486690570467,0.002726811117833588,32.98429319371727,29.84293193717278,90.75043630017451,43.6,圏外,D
576,P 009 RE:CYBORG ACCELERATOR EDITION M4-K,361.0,429.0,242.0,416.0,504.0,281.0,0.0013342616144907656,0.0011054776511823443,0.0016605400694420418,27.574171029668413,12.21640488656196,51.13438045375218,27.7,圏外,D
599,P野生の王国GO 99ver.,263.0,484.0,376.0,354.0,536.0,421.0,0.0015100135698372346,0.0009431259219836171,0.001253295130547485,38.39441535776614,6.631762652705064,26.701570680628272,26.5,圏外,D
604,パチスロうまい棒(2021年),573.0,573.0,557.0,570.0,570.0,530.0,0.0006012351774759443,0.0005761709364833266,0.0007692534279176458,0.6980802792321161,0.6980802792321161,7.6788830715532335,2.1,圏外,D
605,マイジャグラーⅤ,30.0,110.0,380.0,76.0,207.0,437.0,0.002464660043568017,0.0017818045566101116,0.0011916940734873725,86.91099476439791,64.04886561954625,23.90924956369983,67.5,TOP100,B
611,パチスロ 戦姫絶唱シンフォギア 勇気の歌,556.0,550.0,547.0,561.0,544.0,525.0,0.0007042339978185262,0.0009267924457344671,0.0007966056999329519,2.2687609075043635,5.235602094240843,8.551483420593364,4.4,圏外,D
612,沖ドキ!DUO,549.0,511.0,460.0,557.0,461.0,364.0,0.0007208100866302733,0.001211550724369822,0.001424655945822864,2.9668411867364797,19.720767888307154,36.64921465968587,14.7,圏外,D
613,沖ドキ!DUO-30,559.0,533.0,451.0,569.0,520.0,457.0,0.0006293464075429894,0.0010495014669534865,0.00112319650339776,0.8726003490401424,9.424083769633507,20.418848167539274,7.3,圏外,D
615,P Re:ゼロから始める異世界生活 鬼がかりver.,219.0,256.0,208.0,285.0,342.0,294.0,0.0016294522371657137,0.0014951936383076079,0.0016378633994806342,50.43630017452008,40.48865619546248,48.86561954624782,47.1,圏外,D
621,バーサスリヴァイズ,384.0,502.0,554.0,414.0,546.0,568.0,0.0013409828778993644,0.0009188714659330853,0.0002608985946075346,27.923211169284468,4.88656195462478,1.0471204188481686,15.6,圏外,D
628,パチスロ ディスクアップ2,254.0,411.0,570.0,229.0,418.0,570.0,0.0017498445972751425,0.001323597615259535,-7.878389460818923e-05,60.20942408376963,27.225130890052352,0.6980802792321161,38.4,圏外,D
630,パチスロアラジンAクラシック,551.0,534.0,525.0,571.0,550.0,504.0,0.0005822067357988977,0.0008879059172107384,0.000936639981447211,0.5235602094240788,4.188481675392675,12.21640488656196,4.0,圏外,D
633,押忍!番長ZERO,485.0,451.0,403.0,534.0,487.0,459.0,0.0009255815508827874,0.0011527010582082432,0.001119105351600599,6.980802792321117,15.18324607329843,20.06980802792321,12.1,圏外,D
642,ハナハナホウオウ～天翔～,517.0,558.0,462.0,547.0,567.0,485.0,0.0008123191796595073,0.0006090647428184204,0.0010286324518576635,4.712041884816753,1.221640488656195,15.532286212914482,5.8,圏外,D
643,ハナハナホウオウ～天翔～-30,115.0,399.0,244.0,379.0,538.0,502.0,0.0014472969160042957,0.000941348900262066,0.0009560437299708897,34.031413612565444,6.282722513089,12.565445026178013,21.4,圏外,D
650,SLOTマッピー,287.0,481.0,573.0,370.0,519.0,571.0,0.0014694135057339418,0.0010507113540830532,-0.0002503784899862631,35.6020942408377,9.598603839441534,0.5235602094240788,20.8,圏外,D
665,ニューパルサーDXⅢ,488.0,538.0,463.0,554.0,563.0,514.0,0.0007476951402646686,0.0006617893553865678,0.0008637005894063949,3.4904013961605584,1.919720767888311,10.471204188481675,4.4,圏外,D
670,沖ドキ!2-30,525.0,537.0,392.0,559.0,558.0,460.0,0.0007090478756652254,0.0007920412666789794,0.0011123257286224462,2.617801047120416,2.7923211169284423,19.895287958115183,6.1,圏外,D
681,パチスロ この素晴らしい世界に祝福を!,365.0,309.0,410.0,396.0,391.0,469.0,0.001398840239943654,0.0013881186273409576,0.0010815836451180637,31.064572425828974,31.937172774869104,18.324607329842934,28.8,圏外,D
684,新ハナビ,222.0,459.0,565.0,323.0,525.0,569.0,0.0015738655722189233,0.0010060778616938829,4.582090012820501e-05,43.804537521815014,8.551483420593364,0.8726003490401424,24.6,圏外,D
705,PAコマコマ倶楽部with坂本冬美 99ver.,266.0,487.0,362.0,333.0,531.0,376.0,0.0015636020213382251,0.0009570396239736337,0.0013901733806753627,42.059336823734725,7.504363001745196,34.554973821989535,30.2,圏外,D
723,スーパーハナハナ2-30,399.0,204.0,58.0,452.0,344.0,170.0,0.0011930242550262904,0.0014936434704228504,0.0019835072813150787,21.291448516579404,40.139616055846425,70.50610820244327,36.8,圏外,D
724,ニューゲッターマウス,510.0,561.0,542.0,544.0,566.0,561.0,0.0008439726971986517,0.0006172314809429954,0.0004997049695103991,5.235602094240843,1.3961605584642212,2.2687609075043635,3.5,圏外,D
727,パチスロ 甲鉄城のカバネリ,475.0,401.0,509.0,488.0,373.0,544.0,0.0011006977110419565,0.0014222790342648165,0.0007053145698305843,15.008726003490402,35.07853403141361,5.235602094240843,19.1,圏外,D
740,黄門ちゃま喝2,534.0,521.0,423.0,566.0,554.0,471.0,0.0006532795549506352,0.0008651449155857655,0.001078895173937072,1.3961605584642212,3.4904013961605584,17.975567190226872,5.3,圏外,D
744,パチスロ 新鬼武者2,495.0,479.0,515.0,532.0,462.0,526.0,0.0009385245243385351,0.0012009074985269153,0.0007908780874169262,7.329842931937169,19.54624781849913,8.376963350785338,11.2,圏外,D
747,PA新海物語 ARBB,170.0,509.0,479.0,168.0,548.0,529.0,0.0019023900282851658,0.000910534587430915,0.000779422862384875,70.85514834205934,4.537521815008727,7.853403141361259,38.4,圏外,D
764,パチスロペルソナ5,534.0,544.0,534.0,553.0,557.0,545.0,0.0007582765887390167,0.0008338579905946274,0.0006967815960822195,3.6649214659685847,2.9668411867364797,5.061082024432806,3.7,圏外,D
774,パチスロ バイオハザード RE:2,506.0,504.0,492.0,529.0,500.0,513.0,0.0009526482602849825,0.0011212818018123088,0.0008658046103306493,7.853403141361259,12.914485165794066,10.645724258289702,9.9,圏外,D
776,パチスロハードボイルド(2022年),527.0,546.0,551.0,541.0,553.0,553.0,0.0008736280012919964,0.0008655230053137551,0.0005794239845293679,5.759162303664922,3.6649214659685847,3.6649214659685847,4.7,圏外,D
783,ハッピージャグラーVⅢ,301.0,410.0,401.0,387.0,493.0,470.0,0.001427723507023849,0.0011359516832583048,0.0010797134042965042,32.63525305410122,14.136125654450261,18.15008726003491,24.2,圏外,D
795,花火絶景,567.0,568.0,546.0,567.0,540.0,534.0,0.0006476936400907862,0.000939137075353327,0.0007524212605236113,1.221640488656195,5.933682373472948,6.980802792321117,3.8,圏外,D
798,Lパチスロ 革命機ヴァルヴレイヴ,407.0,78.0,421.0,482.0,178.0,378.0,0.0011171375580278538,0.001875041483532343,0.0013845626582106845,16.055846422338572,69.10994764397907,34.20593368237347,35.6,圏外,D
799,L HEY!エリートサラリーマン鏡,487.0,466.0,467.0,533.0,497.0,489.0,0.0009343010277371858,0.0011283142707529151,0.0010212683786227734,7.155322862129143,13.438045375218156,14.834205933682377,10.6,圏外,D
816,沖ドキ!GOLD,414.0,93.0,161.0,475.0,189.0,316.0,0.0011364384833566002,0.0018325631025927133,0.0015874837873498782,17.277486910994767,67.19022687609075,45.026178010471206,37.8,圏外,D
817,沖ドキ!GOLD-30,408.0,95.0,331.0,466.0,184.0,342.0,0.001166502512927495,0.0018509571678594066,0.0014867245630883661,18.848167539267013,68.06282722513089,40.48865619546248,37.9,圏外,D
820,Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,83.0,382.0,299.0,173.0,467.0,403.0,0.001894215518734167,0.0011861619991353216,0.0013041423028836308,69.9825479930192,18.673647469458988,29.84293193717278,46.6,圏外,D
828,パチスロ モンスターハンターワールド:アイスボーン,553.0,556.0,517.0,549.0,539.0,522.0,0.0007818918385530126,0.0009403091535100947,0.0008316727153371904,4.363001745200701,6.108202443280975,9.075043630017454,5.8,圏外,D
830,P大海物語5 MTE2,15.0,50.0,430.0,31.0,141.0,501.0,0.0029796087313389763,0.002014140694459711,0.0009574464105870593,94.76439790575917,75.5671902268761,12.739965095986038,72.6,TOP50,B
831,P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT ver.,216.0,361.0,377.0,337.0,447.0,375.0,0.001559514766562726,0.0012564110705957862,0.0013941476424211765,41.36125654450262,22.164048865619545,34.72949389179756,34.3,圏外,D
841,パチスロ盾の勇者の成り上がり,558.0,564.0,528.0,560.0,556.0,548.0,0.0007085483223037755,0.0008534430385044879,0.0006364663295869293,2.44328097731239,3.141361256544506,4.537521815008727,3.1,圏外,D
849,パチスロ機動戦士ガンダムユニコーン,571.0,570.0,562.0,563.0,537.0,542.0,0.0006805733340625804,0.0009421050797180453,0.0007150164440924236,1.919720767888311,6.457242582897038,5.584642233856895,4.0,圏外,D
850,戦国コレクション5,572.0,567.0,516.0,565.0,478.0,467.0,0.0006700372995301823,0.0011705279888829523,0.0010825187655288434,1.5706806282722474,16.753926701570677,18.673647469458988,9.5,圏外,D
851,P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,68.0,331.0,142.0,140.0,426.0,214.0,0.002002300700575148,0.0013103266658071008,0.0018622922980677608,75.74171029668412,25.82897033158813,62.82722513089005,58.2,圏外,C
854,キングハナハナ-30(2023年),88.0,345.0,511.0,159.0,441.0,559.0,0.0019249153434923616,0.0012738221025697064,0.0005239012101393236,72.42582897033158,23.211169284467715,2.617801047120416,43.7,圏外,D
858,Lスマスロ北斗の拳,371.0,111.0,487.0,415.0,194.0,543.0,0.001337031864949715,0.0018249067856009242,0.0007137306535276015,27.748691099476442,66.3176265270506,5.41012216404887,34.9,圏外,D
864,Lゴブリンスレイヤー,439.0,70.0,21.0,498.0,167.0,89.0,0.001069498332922312,0.0018991636081780786,0.0023393205976167523,13.263525305410118,71.02966841186736,84.64223385689354,44.9,圏外,D
866,Pフィーバー炎炎ノ消防隊 G,179.0,222.0,288.0,174.0,233.0,276.0,0.0018910365427976677,0.0017171134041510938,0.0016957239748976278,69.80802792321117,59.51134380453752,52.00698080279231,63.2,圏外,C
868,アナザーゴッドハーデス-解き放たれし槍撃ver.-,560.0,525.0,503.0,555.0,393.0,455.0,0.0007421546393467696,0.0013823527589891165,0.0011344179483271162,3.315881326352532,31.588132635253054,20.767888307155324,15.3,圏外,D
870,L主役は銭形4,482.0,288.0,450.0,489.0,212.0,468.0,0.0010937493779236078,0.001768684843048873,0.0010822849854261484,14.834205933682377,63.17626527050611,18.49912739965096,30.1,圏外,D
875,P北斗の拳 暴凶星 SFPA,136.0,195.0,215.0,144.0,222.0,253.0,0.0019854975420536512,0.0017419917082528084,0.0017439995661041295,75.043630017452,61.43106457242583,56.02094240837696,67.2,圏外,B
