machine_id,machine_name,latest_data_date,first_seen_date,last_seen_date,certification_date,data_weeks,weeks_from_first_seen,latest_out_per_unit,avg_out_4w,avg_out_12w,avg_out_26w,avg_out_52w,avg_out_all,latest_sales_per_unit,avg_sales_4w,avg_sales_12w,avg_sales_all,latest_profit_per_unit,avg_profit_4w,avg_profit_12w,avg_profit_all,peak_out_per_unit,peak_out_date,peak_ratio,trend,life_stage,rank_out_4w,rank_sales_4w,rank_profit_4w,operation_score
17,CRルパン三世～消されたルパン～ 299Ver.,2026-06-24,2019-09-04,2019-10-23,,8,355,15620.0,16360.0,16778.75,16778.75,16778.75,16778.75,31522.0,32836.75,33559.125,33559.125,6909.0,5976.25,5489.25,5489.25,17750.0,2019-09-04,0.88,横ばい,成長・高稼働期,135.0,161.0,153.0,91.1
18,CR大海物語4 MTB,2026-06-24,2019-09-04,2022-02-16,,122,355,18930.0,18415.0,17921.666666666668,17329.615384615383,18125.76923076923,18973.93442622951,26479.0,25606.75,25345.166666666668,26717.09836065574,3372.0,3042.75,3032.1666666666665,2446.467213114754,27840.0,2020-01-08,0.6799568965517241,横ばい,成熟期,68.0,403.0,1030.0,80.8
19,CR大海物語BLACK ライト,2026-06-24,2019-09-04,2022-02-09,,121,355,18580.0,19102.5,18150.833333333332,16959.615384615383,16826.73076923077,17612.80991735537,25496.0,27398.25,26703.666666666668,25721.73553719008,3711.0,3915.0,3954.8333333333335,3522.6115702479337,23740.0,2020-01-08,0.7826453243470936,微増,成熟期,57.0,311.0,635.0,86.7
20,CR爆走大工の源さん外伝-京都もいただき編- 強ミドル,2026-06-24,2019-09-04,2021-04-28,,74,355,9770.0,9717.5,9940.0,9977.692307692309,10939.23076923077,12121.081081081082,20383.0,20302.5,20817.25,25366.716216216217,3916.0,4053.75,4303.25,5219.2972972972975,19440.0,2020-01-08,0.5025720164609053,横ばい,下降期,799.0,825.0,572.0,54.9
21,CR真・花の慶次 L6-K,2026-06-24,2019-09-04,2021-05-12,,44,355,11800.0,9965.0,10125.833333333334,10449.615384615385,11117.045454545454,11117.045454545454,20741.0,18063.25,18289.166666666668,19537.0,4762.0,4130.25,4098.583333333333,3758.409090909091,18950.0,2020-01-08,0.6226912928759895,横ばい,下降期,734.0,1019.0,541.0,57.2
22,CR真・花の慶次2～漆黒の衝撃 2400,2026-06-24,2019-09-04,2022-02-09,,106,355,10400.0,11075.0,11791.666666666666,11523.461538461539,11675.961538461539,13739.245283018869,19118.0,20290.0,21476.083333333332,23783.22641509434,3746.0,3669.5,3681.0,2726.0283018867926,26690.0,2020-01-08,0.38965904833270887,微減,撤去検討期,529.0,828.0,755.0,55.8
23,CR聖闘士星矢-BEYOND THE LIMIT- MLA,2026-06-24,2019-09-04,2022-01-19,,117,355,17700.0,17895.0,15894.166666666666,16292.692307692309,16186.153846153846,16874.700854700855,33062.0,33679.75,30245.916666666668,31992.0,4987.0,5913.5,5408.416666666667,5615.581196581196,24520.0,2020-01-08,0.7218597063621534,上昇,成熟期,83.0,145.0,162.0,90.5
24,CR餃子の王将3 大盛5000,2026-06-24,2019-09-04,2020-03-04,,2,355,10310.0,10710.0,10710.0,10710.0,10710.0,10710.0,21611.0,23055.5,23055.5,23055.5,5069.0,5122.5,5122.5,5122.5,11110.0,2019-09-04,0.927992799279928,横ばい,成長・高稼働期,586.0,561.0,264.0,73.3
25,CR黄門ちゃま 超寿 日本漫遊2700km 299ver.,2026-06-24,2019-09-04,2021-01-13,,65,355,14710.0,14277.5,12840.0,13025.0,13620.76923076923,13976.0,28355.0,27459.5,24827.833333333332,26502.476923076923,7111.0,5678.0,5203.166666666667,5222.923076923077,20230.0,2020-01-08,0.7271379139891251,上昇,成熟期,235.0,308.0,181.0,84.2
26,CR黄門ちゃま～神盛JUDGEMENT～ 99.9ver.,2026-06-24,2019-09-04,2021-12-15,,97,355,11110.0,11320.0,11447.5,11218.461538461539,10935.961538461539,11136.082474226803,15532.0,15632.75,15739.5,14842.40206185567,4495.0,3944.75,3714.0833333333335,3296.938144329897,14630.0,2020-02-19,0.7593984962406015,横ばい,成熟期,496.0,1223.0,617.0,62.6
