machine_id,machine_name,machine_name_normalized,first_seen_date,last_seen_date,data_count,days_since_last_seen,weeks_since_last_seen,active_status
799,L HEY!エリートサラリーマン鏡,L HEY!エリートサラリーマン鏡,2022-12-14,2025-09-10,31,287,41.0,準現役
816,沖ドキ!GOLD,沖ドキ!GOLD,2023-01-11,2026-06-24,172,0,0.0,現役
817,沖ドキ!GOLD-30,沖ドキ!GOLD-30,2023-01-11,2026-06-24,174,0,0.0,現役
820,Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,Pスーパー海物語IN沖縄5 夜桜超旋風 99ver.,2023-01-18,2026-06-24,171,0,0.0,現役
828,パチスロ モンスターハンターワールド:アイスボーン,パチスロ モンスターハンターワールド:アイスボーン,2023-02-08,2025-09-10,42,287,41.0,準現役
830,P大海物語5 MTE2,P大海物語5 MTE2,2023-02-15,2026-06-24,168,0,0.0,現役
831,P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT ver.,P宇宙戦艦ヤマト2202 -ONLY ONE- LIGHT ver.,2023-02-15,2026-06-24,137,0,0.0,現役
841,パチスロ盾の勇者の成り上がり,パチスロ盾の勇者の成り上がり,2023-03-01,2025-09-10,14,287,41.0,準現役
849,パチスロ機動戦士ガンダムユニコーン,パチスロ機動戦士ガンダムユニコーン,2023-03-15,2025-09-10,22,287,41.0,準現役
850,戦国コレクション5,戦国コレクション5,2023-03-15,2025-09-10,36,287,41.0,準現役
851,P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,P 009 RE:CYBORG ACCELERATOR EDITION 99ver.,2023-03-29,2026-06-24,162,0,0.0,現役
854,キングハナハナ-30(2023年),キングハナハナ-30(2023年),2023-03-29,2026-06-24,163,0,0.0,現役
858,Lスマスロ北斗の拳,Lスマスロ北斗の拳,2023-04-12,2025-09-10,117,287,41.0,準現役
864,Lゴブリンスレイヤー,Lゴブリンスレイヤー,2023-04-26,2026-02-11,46,133,19.0,準現役
866,Pフィーバー炎炎ノ消防隊 G,Pフィーバー炎炎ノ消防隊 G,2023-04-26,2024-09-04,68,658,94.0,準現役
868,アナザーゴッドハーデス-解き放たれし槍撃ver.-,アナザーゴッドハーデス-解き放たれし槍撃ver.-,2023-04-26,2025-09-10,18,287,41.0,準現役
870,L主役は銭形4,L主役は銭形4,2023-05-17,2025-09-10,61,287,41.0,準現役
875,P北斗の拳 暴凶星 SFPA,P北斗の拳 暴凶星 SFPA,2023-05-17,2026-01-14,133,161,23.0,準現役
878,パチスロ 炎炎ノ消防隊,パチスロ 炎炎ノ消防隊,2023-05-17,2025-09-10,65,287,41.0,準現役
880,Lスロット ソードアート・オンライン,Lスロット ソードアート・オンライン,2023-05-24,2026-06-17,48,7,1.0,現役
899,パチスロコードギアス 反逆のルルーシュ3 C.C.&Kallen ver.,パチスロコードギアス 反逆のルルーシュ3 C.C.&Kallen ver.,2023-06-14,2025-09-10,31,287,41.0,準現役
906,Lパチスロ からくりサーカス,Lパチスロ からくりサーカス,2023-07-12,2025-10-29,115,238,34.0,準現役
907,PA大海物語5 Withアグネス・ラム ARBC,PA大海物語5 Withアグネス・ラム ARBC,2023-07-12,2026-06-24,148,0,0.0,現役
914,ゴーゴージャグラー3,ゴーゴージャグラー3,2023-07-12,2026-06-24,149,0,0.0,現役
916,パチスロナイツ,パチスロナイツ,2023-07-12,2025-09-10,27,287,41.0,準現役
917,PフィーバークィーンⅡ30th ANNIVERSARY EDITION V,PフィーバークィーンⅡ30th ANNIVERSARY EDITION V,2023-07-26,2026-04-22,21,63,9.0,準現役
919,パチスロ 戦国†恋姫,パチスロ 戦国†恋姫,2023-07-26,2026-03-04,90,112,16.0,準現役
923,Lぱちスロ 乃木坂46,Lぱちスロ 乃木坂46,2023-08-16,2025-09-10,41,287,41.0,準現役
925,Lスマスロキン肉マン～7人の悪魔超人編～,Lスマスロキン肉マン～7人の悪魔超人編～,2023-08-16,2026-06-10,53,14,2.0,現役
